Date,Actual,Forecast
2025-12-31,14.94999981,14.081168399413205
2026-01-02,14.51000023,14.82338934457616
2026-01-05,14.89999962,14.603098654932172
2026-01-06,14.75,14.553072992281164
2026-01-07,15.38000011,14.6224221248917
2026-01-08,15.44999981,14.84996579849529
2026-01-09,14.48999977,15.002934448711557
2026-01-12,15.11999989,14.366018530562844
2026-01-13,15.97999954,15.179775141882045
2026-01-14,16.75,15.750661824087457
2026-01-15,15.84000015,16.56819937258134
2026-01-16,15.85999966,16.013707911841603
2026-01-20,20.09000015,15.910567952651055
2026-01-21,16.89999962,18.20725696852347
2026-01-22,15.64000034,17.303073370624173
2026-01-23,16.09000015,16.542339185254377
2026-01-26,16.14999962,16.984756592548546
2026-01-27,16.35000038,16.34935498658487
2026-01-28,16.35000038,16.15126457866415
2026-01-29,16.87999916,16.332933844247325
2026-01-30,17.44000053,15.27986264840104
2026-02-02,16.34000015,17.334855059625323
2026-02-03,18.0,16.07183627703314
2026-02-04,18.63999939,16.212381336872546
2026-02-05,21.77000046,17.766705458990184
2026-02-06,20.37000084,21.239472594389817
2026-02-09,17.36000061,19.30221210816789
2026-02-10,17.79000092,18.785696479774003
2026-02-11,17.64999962,17.950721002242187
2026-02-12,20.81999969,17.87644670146989
2026-02-13,20.60000038,19.426164367395895
2026-02-17,20.29000092,20.74810466685787
2026-02-18,19.62000084,17.80124518951015
2026-02-19,20.22999954,19.71532046838009
2026-02-20,19.09000015,20.242277212968816
2026-02-23,21.01000023,19.45113467229099
2026-02-24,19.54999924,22.282329211661022
2026-02-25,17.93000031,19.583657829807642
2026-02-26,18.62999916,17.84500832901645
2026-02-27,19.86000061,17.970613313835134
2026-03-02,21.44000053,19.738854459963697
2026-03-03,23.56999969,21.346564406503926
2026-03-04,21.14999962,24.203708978722947
2026-03-05,23.75,21.703574464807303
2026-03-06,29.48999977,22.597081498592292
2026-03-09,25.5,25.754003384048012
2026-03-10,24.93000031,26.829381515204943
2026-03-11,24.22999954,24.793743624984614
2026-03-12,27.29000092,23.85578283596394
2026-03-16,23.51000023,19.00507602377092
2026-03-17,22.37000084,24.819229782230792
2026-03-18,25.09000015,23.48572620882935
2026-03-19,24.05999947,24.487376740102686
2026-03-20,26.78000069,23.122518632067752
2026-03-23,26.14999962,26.203909256972388
2026-03-24,26.95000076,24.766858820693884
2026-03-25,25.32999992,24.398802420838454
2026-03-26,27.44000053,25.82978413299083
2026-03-27,31.04999924,26.406416608460347
2026-04-09,19.48999977,27.573090210409497
2026-04-22,18.92000008,24.00190311082992
2026-04-23,19.30999947,22.617277637904717
2026-04-24,18.70999908,22.948246670298488
2026-04-27,18.02000046,19.379381108805603
2026-04-28,17.82999992,19.02224765635177
2026-04-29,18.80999947,18.238473798525163
2026-04-30,16.88999939,19.221482497766374
2026-05-01,16.98999977,18.177651552722917
2026-05-04,18.29000092,17.27324654737641
2026-05-05,17.37999916,17.039714747357657
2026-05-06,17.38999939,17.158183594646953
2026-05-07,17.07999992,17.920405530058346
2026-05-08,17.19000053,17.420849593991537
2026-05-11,18.37999916,17.19293545105193
2026-05-12,17.98999977,17.89969947859464
2026-05-13,17.87000084,18.26593385716501
2026-05-14,17.26000023,17.750270242429245
2026-05-15,18.43000031,17.841530747045354
2026-05-18,17.81999969,19.183653685365652
2026-05-19,18.05999947,17.78927062423659
2026-05-20,17.44000053,18.226386774468967
2026-05-21,16.76000023,17.61813940810868
2026-05-22,16.70000076,17.275509831003667
2026-05-26,17.01000023,17.159486050956055
2026-05-27,16.29000092,17.241517375141697
2026-05-28,15.73999977,16.388348618165164
2026-05-29,15.31999969,16.621710987484988
2026-06-01,16.04999924,16.34459756156528
2026-06-02,15.77000046,16.533818171143622
2026-06-03,16.05999947,15.717069049169062
2026-06-04,15.39999962,15.650792214897605
2026-06-05,21.51000023,15.629743926922517
2026-06-08,18.92000008,17.19098564796883
2026-06-09,19.87000084,19.00775896901381
2026-06-10,22.21999931,19.844730691190826
2026-06-11,19.44000053,21.25140375570345
2026-06-12,17.68000031,20.128215116403915
2026-06-15,16.20000076,19.341632894115847
2026-06-16,16.40999985,17.051318961424176
2026-06-17,18.44000053,17.348875686219706
