timestamp_unix,datetime_utc,increase_2_8_october_2025_no
1761782424,2025-10-30T00:00:24+00:00,0.59
1761868815,2025-10-31T00:00:15+00:00,0.935
1761955224,2025-11-01T00:00:24+00:00,0.9685
1762041618,2025-11-02T00:00:18+00:00,0.9465
1762128023,2025-11-03T00:00:23+00:00,0.9265
1762214422,2025-11-04T00:00:22+00:00,0.943
1762300826,2025-11-05T00:00:26+00:00,0.9645
1762387215,2025-11-06T00:00:15+00:00,0.9645
1762473626,2025-11-07T00:00:26+00:00,0.9695
1762560016,2025-11-08T00:00:16+00:00,0.9725
1762646437,2025-11-09T00:00:37+00:00,0.977
1762732816,2025-11-10T00:00:16+00:00,0.9785
1762819226,2025-11-11T00:00:26+00:00,0.996
1762905622,2025-11-12T00:00:22+00:00,0.956
1762992024,2025-11-13T00:00:24+00:00,0.996
1763078423,2025-11-14T00:00:23+00:00,0.984
1763164829,2025-11-15T00:00:29+00:00,0.985
1763251218,2025-11-16T00:00:18+00:00,0.9855
1763337625,2025-11-17T00:00:25+00:00,0.9865
1763424019,2025-11-18T00:00:19+00:00,0.989
1763510429,2025-11-19T00:00:29+00:00,0.9925
1763596818,2025-11-20T00:00:18+00:00,0.9935
1763683232,2025-11-21T00:00:32+00:00,0.993
1763769620,2025-11-22T00:00:20+00:00,0.988
