timestamp_unix,datetime_utc,increase_3_2_december_2025_no
1764979215,2025-12-06T00:00:15+00:00,0.8
1765065627,2025-12-07T00:00:27+00:00,0.92
1765152027,2025-12-08T00:00:27+00:00,0.83
1765238424,2025-12-09T00:00:24+00:00,0.905
1765324813,2025-12-10T00:00:13+00:00,0.91
1765411213,2025-12-11T00:00:13+00:00,0.935
1765497613,2025-12-12T00:00:13+00:00,0.935
1765584015,2025-12-13T00:00:15+00:00,0.97
1765670415,2025-12-14T00:00:15+00:00,0.9655
1765756817,2025-12-15T00:00:17+00:00,0.9425
1765843214,2025-12-16T00:00:14+00:00,0.9605
1765929611,2025-12-17T00:00:11+00:00,0.9535
1765929634,2025-12-17T00:00:34+00:00,0.9535
1766016023,2025-12-18T00:00:23+00:00,0.941
1766102414,2025-12-19T00:00:14+00:00,0.995
1766188813,2025-12-20T00:00:13+00:00,0.9845
1766275214,2025-12-21T00:00:14+00:00,0.9845
1766361613,2025-12-22T00:00:13+00:00,0.965
1766448015,2025-12-23T00:00:15+00:00,0.966
1766534415,2025-12-24T00:00:15+00:00,0.9785
1766620825,2025-12-25T00:00:25+00:00,0.971
1766707211,2025-12-26T00:00:11+00:00,0.9705
1766793615,2025-12-27T00:00:15+00:00,0.9775
1766880015,2025-12-28T00:00:15+00:00,0.972
1766966432,2025-12-29T00:00:32+00:00,0.973
1767052818,2025-12-30T00:00:18+00:00,0.972
1767139215,2025-12-31T00:00:15+00:00,0.9875
1767225616,2026-01-01T00:00:16+00:00,0.9925
1767312015,2026-01-02T00:00:15+00:00,0.994
1767398414,2026-01-03T00:00:14+00:00,0.9935
1767484815,2026-01-04T00:00:15+00:00,0.9945
1767571217,2026-01-05T00:00:17+00:00,0.9915
1767657619,2026-01-06T00:00:19+00:00,0.975
1767744016,2026-01-07T00:00:16+00:00,0.9845
1767830432,2026-01-08T00:00:32+00:00,0.9815
1767916817,2026-01-09T00:00:17+00:00,0.985
1768003218,2026-01-10T00:00:18+00:00,0.98
1768089616,2026-01-11T00:00:16+00:00,0.98
1768176018,2026-01-12T00:00:18+00:00,0.9955
1768262418,2026-01-13T00:00:18+00:00,0.9955
