timestamp_unix,datetime_utc,increase_3_0_december_2025_yes
1764979219,2025-12-06T00:00:19+00:00,0.41
1765065632,2025-12-07T00:00:32+00:00,0.315
1765152030,2025-12-08T00:00:30+00:00,0.32
1765238428,2025-12-09T00:00:28+00:00,0.34
1765324815,2025-12-10T00:00:15+00:00,0.345
1765411216,2025-12-11T00:00:16+00:00,0.4
1765497617,2025-12-12T00:00:17+00:00,0.39
1765584019,2025-12-13T00:00:19+00:00,0.395
1765670420,2025-12-14T00:00:20+00:00,0.395
1765756822,2025-12-15T00:00:22+00:00,0.405
1765843218,2025-12-16T00:00:18+00:00,0.435
1765929615,2025-12-17T00:00:15+00:00,0.34
1765929636,2025-12-17T00:00:36+00:00,0.34
1766016026,2025-12-18T00:00:26+00:00,0.315
1766102417,2025-12-19T00:00:17+00:00,0.0495
1766188817,2025-12-20T00:00:17+00:00,0.062
1766275218,2025-12-21T00:00:18+00:00,0.0445
1766361617,2025-12-22T00:00:17+00:00,0.045
1766448019,2025-12-23T00:00:19+00:00,0.0495
1766534419,2025-12-24T00:00:19+00:00,0.051
1766620829,2025-12-25T00:00:29+00:00,0.036
1766707214,2025-12-26T00:00:14+00:00,0.034
1766793618,2025-12-27T00:00:18+00:00,0.027
1766880019,2025-12-28T00:00:19+00:00,0.019
1766966436,2025-12-29T00:00:36+00:00,0.0195
1767052822,2025-12-30T00:00:22+00:00,0.015
1767139220,2025-12-31T00:00:20+00:00,0.016
1767225619,2026-01-01T00:00:19+00:00,0.007
1767312019,2026-01-02T00:00:19+00:00,0.009
1767398417,2026-01-03T00:00:17+00:00,0.0105
1767484819,2026-01-04T00:00:19+00:00,0.009
1767571221,2026-01-05T00:00:21+00:00,0.014
1767657623,2026-01-06T00:00:23+00:00,0.016
1767744021,2026-01-07T00:00:21+00:00,0.0125
1767830437,2026-01-08T00:00:37+00:00,0.018
1767916821,2026-01-09T00:00:21+00:00,0.0185
1768003222,2026-01-10T00:00:22+00:00,0.0195
1768089619,2026-01-11T00:00:19+00:00,0.023
1768176022,2026-01-12T00:00:22+00:00,0.0155
1768262422,2026-01-13T00:00:22+00:00,0.006
