timestamp_unix,datetime_utc,increase_2_8_december_2025_yes
1764979214,2025-12-06T00:00:14+00:00,0.23
1765065627,2025-12-07T00:00:27+00:00,0.15
1765152026,2025-12-08T00:00:26+00:00,0.0315
1765238424,2025-12-09T00:00:24+00:00,0.109
1765324812,2025-12-10T00:00:12+00:00,0.101
1765411213,2025-12-11T00:00:13+00:00,0.0355
1765497613,2025-12-12T00:00:13+00:00,0.0845
1765584014,2025-12-13T00:00:14+00:00,0.2205
1765670415,2025-12-14T00:00:15+00:00,0.2095
1765756816,2025-12-15T00:00:16+00:00,0.1925
1765843213,2025-12-16T00:00:13+00:00,0.19
1765929610,2025-12-17T00:00:10+00:00,0.2465
1765929633,2025-12-17T00:00:33+00:00,0.2475
1766016022,2025-12-18T00:00:22+00:00,0.2395
1766102413,2025-12-19T00:00:13+00:00,0.855
1766188813,2025-12-20T00:00:13+00:00,0.8275
1766275213,2025-12-21T00:00:13+00:00,0.8245
1766361613,2025-12-22T00:00:13+00:00,0.811
1766448014,2025-12-23T00:00:14+00:00,0.799
1766534414,2025-12-24T00:00:14+00:00,0.832
1766620824,2025-12-25T00:00:24+00:00,0.847
1766707211,2025-12-26T00:00:11+00:00,0.8495
1766793614,2025-12-27T00:00:14+00:00,0.8635
1766880014,2025-12-28T00:00:14+00:00,0.871
1766966431,2025-12-29T00:00:31+00:00,0.8695
1767052818,2025-12-30T00:00:18+00:00,0.869
1767139215,2025-12-31T00:00:15+00:00,0.872
1767225615,2026-01-01T00:00:15+00:00,0.8985
1767312014,2026-01-02T00:00:14+00:00,0.923
1767398413,2026-01-03T00:00:13+00:00,0.8835
1767484815,2026-01-04T00:00:15+00:00,0.887
1767571217,2026-01-05T00:00:17+00:00,0.893
1767657618,2026-01-06T00:00:18+00:00,0.8895
1767744016,2026-01-07T00:00:16+00:00,0.884
1767830432,2026-01-08T00:00:32+00:00,0.851
1767916816,2026-01-09T00:00:16+00:00,0.87
1768003217,2026-01-10T00:00:17+00:00,0.864
1768089615,2026-01-11T00:00:15+00:00,0.872
1768176017,2026-01-12T00:00:17+00:00,0.896
1768262417,2026-01-13T00:00:17+00:00,0.916
