timestamp_unix,datetime_utc,increase_3_0_december_2025_no
1764979206,2025-12-06T00:00:06+00:00,0.59
1765065619,2025-12-07T00:00:19+00:00,0.685
1765152018,2025-12-08T00:00:18+00:00,0.68
1765238417,2025-12-09T00:00:17+00:00,0.66
1765324807,2025-12-10T00:00:07+00:00,0.655
1765411207,2025-12-11T00:00:07+00:00,0.6
1765497606,2025-12-12T00:00:06+00:00,0.61
1765584007,2025-12-13T00:00:07+00:00,0.605
1765670406,2025-12-14T00:00:06+00:00,0.605
1765756806,2025-12-15T00:00:06+00:00,0.595
1765843205,2025-12-16T00:00:05+00:00,0.565
1765929602,2025-12-17T00:00:02+00:00,0.66
1765929630,2025-12-17T00:00:30+00:00,0.66
1766016018,2025-12-18T00:00:18+00:00,0.685
1766102407,2025-12-19T00:00:07+00:00,0.9505
1766188807,2025-12-20T00:00:07+00:00,0.938
1766275207,2025-12-21T00:00:07+00:00,0.9555
1766361606,2025-12-22T00:00:06+00:00,0.955
1766448007,2025-12-23T00:00:07+00:00,0.9505
1766534407,2025-12-24T00:00:07+00:00,0.949
1766620818,2025-12-25T00:00:18+00:00,0.964
1766707207,2025-12-26T00:00:07+00:00,0.966
1766793608,2025-12-27T00:00:08+00:00,0.973
1766880009,2025-12-28T00:00:09+00:00,0.981
1766966424,2025-12-29T00:00:24+00:00,0.9805
1767052812,2025-12-30T00:00:12+00:00,0.985
1767139208,2025-12-31T00:00:08+00:00,0.984
1767225608,2026-01-01T00:00:08+00:00,0.993
1767312008,2026-01-02T00:00:08+00:00,0.991
1767398408,2026-01-03T00:00:08+00:00,0.9895
1767484808,2026-01-04T00:00:08+00:00,0.991
1767571208,2026-01-05T00:00:08+00:00,0.986
1767657611,2026-01-06T00:00:11+00:00,0.984
1767744009,2026-01-07T00:00:09+00:00,0.9875
1767830424,2026-01-08T00:00:24+00:00,0.982
1767916809,2026-01-09T00:00:09+00:00,0.9815
1768003210,2026-01-10T00:00:10+00:00,0.9805
1768089609,2026-01-11T00:00:09+00:00,0.977
1768176011,2026-01-12T00:00:11+00:00,0.9845
1768262410,2026-01-13T00:00:10+00:00,0.994
