timestamp_unix,datetime_utc,increase_3_1_december_2025_no
1764979211,2025-12-06T00:00:11+00:00,0.745
1765065623,2025-12-07T00:00:23+00:00,0.77
1765152022,2025-12-08T00:00:22+00:00,0.645
1765238420,2025-12-09T00:00:20+00:00,0.795
1765324810,2025-12-10T00:00:10+00:00,0.785
1765411210,2025-12-11T00:00:10+00:00,0.785
1765497609,2025-12-12T00:00:09+00:00,0.82
1765584011,2025-12-13T00:00:11+00:00,0.93
1765670411,2025-12-14T00:00:11+00:00,0.94
1765756811,2025-12-15T00:00:11+00:00,0.91
1765843209,2025-12-16T00:00:09+00:00,0.905
1765929606,2025-12-17T00:00:06+00:00,0.905
1765929631,2025-12-17T00:00:31+00:00,0.905
1766016020,2025-12-18T00:00:20+00:00,0.915
1766102411,2025-12-19T00:00:11+00:00,0.9965
1766188810,2025-12-20T00:00:10+00:00,0.983
1766275210,2025-12-21T00:00:10+00:00,0.983
1766361610,2025-12-22T00:00:10+00:00,0.9745
1766448011,2025-12-23T00:00:11+00:00,0.9745
1766534411,2025-12-24T00:00:11+00:00,0.9885
1766620821,2025-12-25T00:00:21+00:00,0.9915
1766707209,2025-12-26T00:00:09+00:00,0.992
1766793612,2025-12-27T00:00:12+00:00,0.9915
1766880011,2025-12-28T00:00:11+00:00,0.9915
1766966427,2025-12-29T00:00:27+00:00,0.991
1767052814,2025-12-30T00:00:14+00:00,0.991
1767139211,2025-12-31T00:00:11+00:00,0.99
1767225611,2026-01-01T00:00:11+00:00,0.9905
1767312011,2026-01-02T00:00:11+00:00,0.99
1767398410,2026-01-03T00:00:10+00:00,0.9905
1767484811,2026-01-04T00:00:11+00:00,0.9965
1767571212,2026-01-05T00:00:12+00:00,0.9925
1767657615,2026-01-06T00:00:15+00:00,0.973
1767744012,2026-01-07T00:00:12+00:00,0.983
1767830428,2026-01-08T00:00:28+00:00,0.982
1767916812,2026-01-09T00:00:12+00:00,0.973
1768003213,2026-01-10T00:00:13+00:00,0.9765
1768089612,2026-01-11T00:00:12+00:00,0.9745
1768176014,2026-01-12T00:00:14+00:00,0.98
1768262414,2026-01-13T00:00:14+00:00,0.996
