timestamp_unix,datetime_utc,increase_3_9_april_2026_no
1776816009,2026-04-22T00:00:09+00:00,0.966
1776902413,2026-04-23T00:00:13+00:00,0.9625
1776988823,2026-04-24T00:00:23+00:00,0.9615
1777075213,2026-04-25T00:00:13+00:00,0.9585
1777161607,2026-04-26T00:00:07+00:00,0.951
1777248008,2026-04-27T00:00:08+00:00,0.956
1777334409,2026-04-28T00:00:09+00:00,0.9575
1777420807,2026-04-29T00:00:07+00:00,0.963
1777507213,2026-04-30T00:00:13+00:00,0.9485
1777593608,2026-05-01T00:00:08+00:00,0.938
1777680006,2026-05-02T00:00:06+00:00,0.9295
1777766406,2026-05-03T00:00:06+00:00,0.941
1777852805,2026-05-04T00:00:05+00:00,0.941
1777939219,2026-05-05T00:00:19+00:00,0.94
1778025609,2026-05-06T00:00:09+00:00,0.9445
1778112008,2026-05-07T00:00:08+00:00,0.9405
1778198405,2026-05-08T00:00:05+00:00,0.9385
1778284823,2026-05-09T00:00:23+00:00,0.9375
1778371207,2026-05-10T00:00:07+00:00,0.9325
1778457610,2026-05-11T00:00:10+00:00,0.941
1778544009,2026-05-12T00:00:09+00:00,0.9585
