timestamp_unix,datetime_utc,increase_3_6_april_2026_no
1775952026,2026-04-12T00:00:26+00:00,0.695
1776470435,2026-04-18T00:00:35+00:00,0.71
1776816017,2026-04-22T00:00:17+00:00,0.695
1776902422,2026-04-23T00:00:22+00:00,0.675
1776988835,2026-04-24T00:00:35+00:00,0.665
1777075216,2026-04-25T00:00:16+00:00,0.685
1777161610,2026-04-26T00:00:10+00:00,0.695
1777248014,2026-04-27T00:00:14+00:00,0.695
1777334415,2026-04-28T00:00:15+00:00,0.705
1777420812,2026-04-29T00:00:12+00:00,0.775
1777507217,2026-04-30T00:00:17+00:00,0.78
1777593620,2026-05-01T00:00:20+00:00,0.815
1777680013,2026-05-02T00:00:13+00:00,0.815
1777766407,2026-05-03T00:00:07+00:00,0.825
1777852807,2026-05-04T00:00:07+00:00,0.83
1777939220,2026-05-05T00:00:20+00:00,0.815
1778025612,2026-05-06T00:00:12+00:00,0.805
1778112011,2026-05-07T00:00:11+00:00,0.81
1778198412,2026-05-08T00:00:12+00:00,0.82
1778284825,2026-05-09T00:00:25+00:00,0.81
1778371212,2026-05-10T00:00:12+00:00,0.84
1778457612,2026-05-11T00:00:12+00:00,0.825
1778544020,2026-05-12T00:00:20+00:00,0.85
