timestamp_unix,datetime_utc,increase_3_7_april_2026_no
1775865641,2026-04-11T00:00:41+00:00,0.525
1776038436,2026-04-13T00:00:36+00:00,0.6705
1776124854,2026-04-14T00:00:54+00:00,0.83
1776211237,2026-04-15T00:00:37+00:00,0.8015
1776297642,2026-04-16T00:00:42+00:00,0.7725
1776816015,2026-04-22T00:00:15+00:00,0.7985
1776902414,2026-04-23T00:00:14+00:00,0.7885
1776988823,2026-04-24T00:00:23+00:00,0.794
1777075213,2026-04-25T00:00:13+00:00,0.7795
1777161608,2026-04-26T00:00:08+00:00,0.778
1777248008,2026-04-27T00:00:08+00:00,0.7715
1777334409,2026-04-28T00:00:09+00:00,0.691
1777420807,2026-04-29T00:00:07+00:00,0.6215
1777507213,2026-04-30T00:00:13+00:00,0.666
1777593608,2026-05-01T00:00:08+00:00,0.6435
1777680007,2026-05-02T00:00:07+00:00,0.6445
1777766406,2026-05-03T00:00:06+00:00,0.6355
1777852805,2026-05-04T00:00:05+00:00,0.619
1777939219,2026-05-05T00:00:19+00:00,0.6175
1778025609,2026-05-06T00:00:09+00:00,0.6215
1778112009,2026-05-07T00:00:09+00:00,0.6145
1778198405,2026-05-08T00:00:05+00:00,0.6055
1778284823,2026-05-09T00:00:23+00:00,0.6115
1778371210,2026-05-10T00:00:10+00:00,0.61
1778457611,2026-05-11T00:00:11+00:00,0.61
1778544012,2026-05-12T00:00:12+00:00,0.557
