timestamp_unix,datetime_utc,increase_3_3_april_2026_no
1776470410,2026-04-18T00:00:10+00:00,0.9955
1776816015,2026-04-22T00:00:15+00:00,0.9725
1776902417,2026-04-23T00:00:17+00:00,0.9755
1776988831,2026-04-24T00:00:31+00:00,0.978
1777075215,2026-04-25T00:00:15+00:00,0.9765
1777161609,2026-04-26T00:00:09+00:00,0.981
1777248011,2026-04-27T00:00:11+00:00,0.982
1777334412,2026-04-28T00:00:12+00:00,0.9885
1777420810,2026-04-29T00:00:10+00:00,0.9905
1777507215,2026-04-30T00:00:15+00:00,0.9885
1777593615,2026-05-01T00:00:15+00:00,0.9875
1777680009,2026-05-02T00:00:09+00:00,0.985
1777766407,2026-05-03T00:00:07+00:00,0.983
1777852806,2026-05-04T00:00:06+00:00,0.987
1777939220,2026-05-05T00:00:20+00:00,0.993
1778025610,2026-05-06T00:00:10+00:00,0.994
1778112010,2026-05-07T00:00:10+00:00,0.9935
1778198408,2026-05-08T00:00:08+00:00,0.994
1778284824,2026-05-09T00:00:24+00:00,0.9945
1778371210,2026-05-10T00:00:10+00:00,0.9945
1778457611,2026-05-11T00:00:11+00:00,0.9955
1778544013,2026-05-12T00:00:13+00:00,0.9975
