timestamp_unix,datetime_utc,increase_3_5_april_2026_yes
1775952003,2026-04-12T00:00:03+00:00,0.357
1776816009,2026-04-22T00:00:09+00:00,0.1675
1776902413,2026-04-23T00:00:13+00:00,0.1995
1776988823,2026-04-24T00:00:23+00:00,0.172
1777075213,2026-04-25T00:00:13+00:00,0.1725
1777161607,2026-04-26T00:00:07+00:00,0.1595
1777248008,2026-04-27T00:00:08+00:00,0.165
1777334409,2026-04-28T00:00:09+00:00,0.1085
1777420807,2026-04-29T00:00:07+00:00,0.0485
1777507213,2026-04-30T00:00:13+00:00,0.12
1777593608,2026-05-01T00:00:08+00:00,0.1015
1777680006,2026-05-02T00:00:06+00:00,0.104
1777766406,2026-05-03T00:00:06+00:00,0.0975
1777852805,2026-05-04T00:00:05+00:00,0.0805
1777939219,2026-05-05T00:00:19+00:00,0.074
1778025609,2026-05-06T00:00:09+00:00,0.0665
1778112009,2026-05-07T00:00:09+00:00,0.0475
1778198405,2026-05-08T00:00:05+00:00,0.0405
1778284823,2026-05-09T00:00:23+00:00,0.033
1778371207,2026-05-10T00:00:07+00:00,0.035
1778457610,2026-05-11T00:00:10+00:00,0.037
1778544010,2026-05-12T00:00:10+00:00,0.0245
