timestamp_unix,datetime_utc,increase_3_4_april_2026_yes
1776038458,2026-04-13T00:00:58+00:00,0.154
1776211259,2026-04-15T00:00:59+00:00,0.056
1776470407,2026-04-18T00:00:07+00:00,0.0835
1776816015,2026-04-22T00:00:15+00:00,0.065
1776902417,2026-04-23T00:00:17+00:00,0.0285
1776988831,2026-04-24T00:00:31+00:00,0.0465
1777075215,2026-04-25T00:00:15+00:00,0.0435
1777161609,2026-04-26T00:00:09+00:00,0.031
1777248011,2026-04-27T00:00:11+00:00,0.031
1777334412,2026-04-28T00:00:12+00:00,0.0135
1777420810,2026-04-29T00:00:10+00:00,0.0135
1777507215,2026-04-30T00:00:15+00:00,0.01
1777593614,2026-05-01T00:00:14+00:00,0.012
1777680009,2026-05-02T00:00:09+00:00,0.013
1777766406,2026-05-03T00:00:06+00:00,0.014
1777852806,2026-05-04T00:00:06+00:00,0.011
1777939219,2026-05-05T00:00:19+00:00,0.004
1778025610,2026-05-06T00:00:10+00:00,0.009
1778112009,2026-05-07T00:00:09+00:00,0.0095
1778198408,2026-05-08T00:00:08+00:00,0.005
1778284824,2026-05-09T00:00:24+00:00,0.009
1778371210,2026-05-10T00:00:10+00:00,0.0055
1778457611,2026-05-11T00:00:11+00:00,0.0045
1778544013,2026-05-12T00:00:13+00:00,0.0025
