timestamp_unix,datetime_utc,increase_3_8_april_2026_no
1775865648,2026-04-11T00:00:48+00:00,0.525
1776038443,2026-04-13T00:00:43+00:00,0.8815
1776211244,2026-04-15T00:00:44+00:00,0.817
1776297648,2026-04-16T00:00:48+00:00,0.816
1776384051,2026-04-17T00:00:51+00:00,0.818
1776556839,2026-04-19T00:00:39+00:00,0.825
1776643242,2026-04-20T00:00:42+00:00,0.8295
1776729646,2026-04-21T00:00:46+00:00,0.842
1776816005,2026-04-22T00:00:05+00:00,0.8435
1776902405,2026-04-23T00:00:05+00:00,0.83
1776988818,2026-04-24T00:00:18+00:00,0.8345
1777075210,2026-04-25T00:00:10+00:00,0.8325
1777161604,2026-04-26T00:00:04+00:00,0.818
1777248003,2026-04-27T00:00:03+00:00,0.8385
1777334404,2026-04-28T00:00:04+00:00,0.8125
1777420803,2026-04-29T00:00:03+00:00,0.727
1777507205,2026-04-30T00:00:05+00:00,0.7415
1777593604,2026-05-01T00:00:04+00:00,0.7255
1777680004,2026-05-02T00:00:04+00:00,0.7345
1777766406,2026-05-03T00:00:06+00:00,0.701
1777852804,2026-05-04T00:00:04+00:00,0.6985
1777939217,2026-05-05T00:00:17+00:00,0.7005
1778025606,2026-05-06T00:00:06+00:00,0.705
1778112005,2026-05-07T00:00:05+00:00,0.6825
1778198403,2026-05-08T00:00:03+00:00,0.686
1778284822,2026-05-09T00:00:22+00:00,0.6775
1778371204,2026-05-10T00:00:04+00:00,0.6545
1778457608,2026-05-11T00:00:08+00:00,0.643
1778544004,2026-05-12T00:00:04+00:00,0.6435
