timestamp_unix,datetime_utc,increase_3_9_april_2026_yes
1775865648,2026-04-11T00:00:48+00:00,0.47
1776038442,2026-04-13T00:00:42+00:00,0.1265
1776211244,2026-04-15T00:00:44+00:00,0.1305
1776297647,2026-04-16T00:00:47+00:00,0.13
1776816015,2026-04-22T00:00:15+00:00,0.034
1776902414,2026-04-23T00:00:14+00:00,0.0375
1776988831,2026-04-24T00:00:31+00:00,0.0385
1777075215,2026-04-25T00:00:15+00:00,0.0415
1777161608,2026-04-26T00:00:08+00:00,0.049
1777248008,2026-04-27T00:00:08+00:00,0.044
1777334411,2026-04-28T00:00:11+00:00,0.0425
1777420809,2026-04-29T00:00:09+00:00,0.037
1777507213,2026-04-30T00:00:13+00:00,0.0515
1777593614,2026-05-01T00:00:14+00:00,0.062
1777680007,2026-05-02T00:00:07+00:00,0.0705
1777766406,2026-05-03T00:00:06+00:00,0.059
1777852805,2026-05-04T00:00:05+00:00,0.059
1777939219,2026-05-05T00:00:19+00:00,0.06
1778025609,2026-05-06T00:00:09+00:00,0.0555
1778112009,2026-05-07T00:00:09+00:00,0.0595
1778198405,2026-05-08T00:00:05+00:00,0.0615
1778284824,2026-05-09T00:00:24+00:00,0.0625
1778371210,2026-05-10T00:00:10+00:00,0.0675
1778457611,2026-05-11T00:00:11+00:00,0.059
1778544012,2026-05-12T00:00:12+00:00,0.0415
