timestamp_unix,datetime_utc,increase_3_5_april_2026_no
1776384059,2026-04-17T00:00:59+00:00,0.818
1776556849,2026-04-19T00:00:49+00:00,0.7725
1776643253,2026-04-20T00:00:53+00:00,0.782
1776729656,2026-04-21T00:00:56+00:00,0.7855
1776816005,2026-04-22T00:00:05+00:00,0.8325
1776902405,2026-04-23T00:00:05+00:00,0.8005
1776988818,2026-04-24T00:00:18+00:00,0.84
1777075210,2026-04-25T00:00:10+00:00,0.8275
1777161604,2026-04-26T00:00:04+00:00,0.8405
1777248004,2026-04-27T00:00:04+00:00,0.8355
1777334404,2026-04-28T00:00:04+00:00,0.8915
1777420803,2026-04-29T00:00:03+00:00,0.9515
1777507205,2026-04-30T00:00:05+00:00,0.88
1777593604,2026-05-01T00:00:04+00:00,0.8985
1777680004,2026-05-02T00:00:04+00:00,0.896
1777766406,2026-05-03T00:00:06+00:00,0.9025
1777852804,2026-05-04T00:00:04+00:00,0.9195
1777939217,2026-05-05T00:00:17+00:00,0.926
1778025606,2026-05-06T00:00:06+00:00,0.9335
1778112005,2026-05-07T00:00:05+00:00,0.9525
1778198403,2026-05-08T00:00:03+00:00,0.9595
1778284822,2026-05-09T00:00:22+00:00,0.967
1778371204,2026-05-10T00:00:04+00:00,0.965
1778457608,2026-05-11T00:00:08+00:00,0.963
1778544004,2026-05-12T00:00:04+00:00,0.9755
