datetime_utc,decreases_25_january_2026_no,decreases_25_january_2026_yes,decreases_50_january_2026_no,decreases_50_january_2026_yes,increases_25_january_2026_no,increases_25_january_2026_yes,no_change_january_2026_no,no_change_january_2026_yes
11/12/2025,0.805,0.195,0.987,0.013,0.9895,0.0105,0.215,0.785
12/12/2025,0.825,0.175,0.9895,0.0105,0.9895,0.0105,0.195,0.805
13/12/2025,0.795,0.205,0.9865,0.0135,0.9905,0.0095,0.235,0.765
14/12/2025,0.795,0.205,0.9865,0.0135,0.9895,0.0105,0.225,0.775
15/12/2025,0.795,0.205,0.9865,0.0135,0.9865,0.0135,0.225,0.775
16/12/2025,0.795,0.205,0.9835,0.0165,0.9865,0.0135,0.225,0.775
17/12/2025,0.795,0.205,0.9835,0.0165,0.9875,0.0125,0.235,0.765
18/12/2025,0.785,0.215,0.9845,0.0155,0.9875,0.0125,0.235,0.765
19/12/2025,0.755,0.245,0.9855,0.0145,0.9925,0.0075,0.275,0.725
20/12/2025,0.795,0.205,0.9845,0.0155,0.9925,0.0075,0.235,0.765
21/12/2025,0.805,0.195,0.9855,0.0145,0.9925,0.0075,0.215,0.785
22/12/2025,0.815,0.185,0.9865,0.0135,0.9925,0.0075,0.205,0.795
23/12/2025,0.825,0.175,0.9855,0.0145,0.9935,0.0065,0.205,0.795
24/12/2025,0.875,0.125,0.9845,0.0155,0.9935,0.0065,0.145,0.855
25/12/2025,0.885,0.115,0.9845,0.0155,0.9965,0.0035,0.125,0.875
26/12/2025,0.885,0.115,0.9875,0.0125,0.9965,0.0035,0.135,0.865
27/12/2025,0.855,0.145,0.9875,0.0125,0.9965,0.0035,0.155,0.845
28/12/2025,0.865,0.135,0.9875,0.0125,0.9965,0.0035,0.145,0.855
29/12/2025,0.875,0.125,0.9875,0.0125,0.9965,0.0035,0.135,0.865
30/12/2025,0.875,0.125,0.9875,0.0125,0.9975,0.0025,0.135,0.865
31/12/2025,0.875,0.125,0.9885,0.0115,0.9975,0.0025,0.135,0.865
01/01/2026,0.895,0.105,0.9895,0.0105,0.9975,0.0025,0.125,0.875
02/01/2026,0.895,0.105,0.9925,0.0075,0.9965,0.0035,0.115,0.885
03/01/2026,0.895,0.105,0.9925,0.0075,0.9965,0.0035,0.115,0.885
04/01/2026,0.905,0.095,0.9925,0.0075,0.9965,0.0035,0.105,0.895
05/01/2026,0.905,0.095,0.9925,0.0075,0.9965,0.0035,0.105,0.895
06/01/2026,0.895,0.105,0.9935,0.0065,0.9965,0.0035,0.105,0.895
07/01/2026,0.895,0.105,0.9945,0.0055,0.9965,0.0035,0.105,0.895
08/01/2026,0.925,0.075,0.9945,0.0055,0.9965,0.0035,0.085,0.915
09/01/2026,0.925,0.075,0.9935,0.0065,0.9965,0.0035,0.075,0.925
10/01/2026,0.9755,0.0245,0.9955,0.0045,0.9975,0.0025,0.0295,0.9705
11/01/2026,0.9625,0.0375,0.9975,0.0025,0.9995,0.0005,0.043,0.957
12/01/2026,0.9595,0.0405,0.9975,0.0025,0.9995,0.0005,0.0425,0.9575
13/01/2026,0.9345,0.0655,0.9975,0.0025,0.9995,0.0005,0.0685,0.9315
14/01/2026,0.959,0.041,0.9975,0.0025,0.9995,0.0005,0.0455,0.9545
15/01/2026,0.944,0.056,0.9965,0.0035,0.9995,0.0005,0.0585,0.9415
16/01/2026,0.951,0.049,0.9965,0.0035,0.9985,0.0015,0.0525,0.9475
17/01/2026,0.9565,0.0435,0.9965,0.0035,0.9985,0.0015,0.0475,0.9525
18/01/2026,0.9615,0.0385,0.9965,0.0035,0.9985,0.0015,0.0445,0.9555
19/01/2026,0.9625,0.0375,0.9965,0.0035,0.9985,0.0015,0.0435,0.9565
20/01/2026,0.9685,0.0315,0.9985,0.0015,0.9995,0.0005,0.0355,0.9645
21/01/2026,0.9755,0.0245,0.9985,0.0015,0.9995,0.0005,0.0285,0.9715
22/01/2026,0.9815,0.0185,0.9985,0.0015,0.9995,0.0005,0.0205,0.9795
23/01/2026,0.9835,0.0165,0.9985,0.0015,0.9995,0.0005,0.0195,0.9805
24/01/2026,0.9885,0.0115,0.9995,0.0005,0.9995,0.0005,0.0135,0.9865
25/01/2026,0.9935,0.0065,0.9995,0.0005,0.9995,0.0005,0.0095,0.9905
26/01/2026,0.9935,0.0065,0.9995,0.0005,0.9995,0.0005,0.0095,0.9905
27/01/2026,0.9925,0.0075,0.9995,0.0005,0.9985,0.0015,0.012,0.988
28/01/2026,0.9965,0.0035,0.9995,0.0005,0.9985,0.0015,0.0075,0.9925
