timestamp_unix,datetime_utc,increase_2_9_august_2025_no
1755043213,2025-08-13T00:00:13+00:00,0.64
1755129606,2025-08-14T00:00:06+00:00,0.61
1755216013,2025-08-15T00:00:13+00:00,0.615
1755302410,2025-08-16T00:00:10+00:00,0.625
1755388810,2025-08-17T00:00:10+00:00,0.62
1755475205,2025-08-18T00:00:05+00:00,0.61
1755561604,2025-08-19T00:00:04+00:00,0.615
1755648006,2025-08-20T00:00:06+00:00,0.605
1755734406,2025-08-21T00:00:06+00:00,0.595
1755820808,2025-08-22T00:00:08+00:00,0.585
1755907215,2025-08-23T00:00:15+00:00,0.58
1755993607,2025-08-24T00:00:07+00:00,0.575
1756080004,2025-08-25T00:00:04+00:00,0.575
1756166407,2025-08-26T00:00:07+00:00,0.575
1756252809,2025-08-27T00:00:09+00:00,0.585
1756339208,2025-08-28T00:00:08+00:00,0.585
1756425609,2025-08-29T00:00:09+00:00,0.58
1756512010,2025-08-30T00:00:10+00:00,0.595
1756598402,2025-08-31T00:00:02+00:00,0.595
1756684802,2025-09-01T00:00:02+00:00,0.6
1756771205,2025-09-02T00:00:05+00:00,0.57
1756857609,2025-09-03T00:00:09+00:00,0.575
1756944004,2025-09-04T00:00:04+00:00,0.595
1757030413,2025-09-05T00:00:13+00:00,0.57
1757116813,2025-09-06T00:00:13+00:00,0.545
1757203205,2025-09-07T00:00:05+00:00,0.545
1757289616,2025-09-08T00:00:16+00:00,0.565
1757376011,2025-09-09T00:00:11+00:00,0.565
1757462402,2025-09-10T00:00:02+00:00,0.525
1757548813,2025-09-11T00:00:13+00:00,0.6
