timestamp_unix,datetime_utc,increase_2_7_august_2025_no
1755043214,2025-08-13T00:00:14+00:00,0.85
1755129605,2025-08-14T00:00:05+00:00,0.9615
1755216005,2025-08-15T00:00:05+00:00,0.959
1755302404,2025-08-16T00:00:04+00:00,0.9455
1755388809,2025-08-17T00:00:09+00:00,0.9365
1755475205,2025-08-18T00:00:05+00:00,0.947
1755561608,2025-08-19T00:00:08+00:00,0.9305
1755648008,2025-08-20T00:00:08+00:00,0.941
1755734409,2025-08-21T00:00:09+00:00,0.953
1755820806,2025-08-22T00:00:06+00:00,0.9615
1755907210,2025-08-23T00:00:10+00:00,0.9655
1755993604,2025-08-24T00:00:04+00:00,0.9635
1756080002,2025-08-25T00:00:02+00:00,0.9585
1756166405,2025-08-26T00:00:05+00:00,0.956
1756252802,2025-08-27T00:00:02+00:00,0.9655
1756339206,2025-08-28T00:00:06+00:00,0.9755
1756425604,2025-08-29T00:00:04+00:00,0.966
1756512006,2025-08-30T00:00:06+00:00,0.9675
1756598410,2025-08-31T00:00:10+00:00,0.969
1756684814,2025-09-01T00:00:14+00:00,0.971
1756771218,2025-09-02T00:00:18+00:00,0.98
1756857616,2025-09-03T00:00:16+00:00,0.9735
1756944016,2025-09-04T00:00:16+00:00,0.97
1757030412,2025-09-05T00:00:12+00:00,0.969
1757116819,2025-09-06T00:00:19+00:00,0.9835
1757203212,2025-09-07T00:00:12+00:00,0.9705
1757289612,2025-09-08T00:00:12+00:00,0.955
1757376013,2025-09-09T00:00:13+00:00,0.965
1757462403,2025-09-10T00:00:03+00:00,0.972
1757548813,2025-09-11T00:00:13+00:00,0.955
