timestamp_unix,datetime_utc,decreases_25_january_2025_no
1731024002,2024-11-08T00:00:02+00:00,0.565
1731110403,2024-11-09T00:00:03+00:00,0.5
1731196802,2024-11-10T00:00:02+00:00,0.545
1731283202,2024-11-11T00:00:02+00:00,0.56
1731369602,2024-11-12T00:00:02+00:00,0.555
1731456003,2024-11-13T00:00:03+00:00,0.59
1731542403,2024-11-14T00:00:03+00:00,0.615
1731628803,2024-11-15T00:00:03+00:00,0.735
1731715203,2024-11-16T00:00:03+00:00,0.725
1731801603,2024-11-17T00:00:03+00:00,0.725
1731888003,2024-11-18T00:00:03+00:00,0.71
1731974403,2024-11-19T00:00:03+00:00,0.685
1732060803,2024-11-20T00:00:03+00:00,0.695
1732147203,2024-11-21T00:00:03+00:00,0.69
1732233603,2024-11-22T00:00:03+00:00,0.695
1732320004,2024-11-23T00:00:04+00:00,0.7
1732406403,2024-11-24T00:00:03+00:00,0.705
1732492803,2024-11-25T00:00:03+00:00,0.695
1732579204,2024-11-26T00:00:04+00:00,0.7
1732665603,2024-11-27T00:00:03+00:00,0.705
1732752003,2024-11-28T00:00:03+00:00,0.71
1732838404,2024-11-29T00:00:04+00:00,0.71
1732924803,2024-11-30T00:00:03+00:00,0.71
1733011203,2024-12-01T00:00:03+00:00,0.715
1733097603,2024-12-02T00:00:03+00:00,0.71
1733184003,2024-12-03T00:00:03+00:00,0.71
1733270403,2024-12-04T00:00:03+00:00,0.705
1733356803,2024-12-05T00:00:03+00:00,0.695
1733443203,2024-12-06T00:00:03+00:00,0.715
1733529603,2024-12-07T00:00:03+00:00,0.695
1733616003,2024-12-08T00:00:03+00:00,0.695
1733702402,2024-12-09T00:00:02+00:00,0.695
1733788803,2024-12-10T00:00:03+00:00,0.705
1733875203,2024-12-11T00:00:03+00:00,0.725
1733961603,2024-12-12T00:00:03+00:00,0.755
1734048003,2024-12-13T00:00:03+00:00,0.76
1734134403,2024-12-14T00:00:03+00:00,0.775
1734220803,2024-12-15T00:00:03+00:00,0.755
1734307203,2024-12-16T00:00:03+00:00,0.785
1734393604,2024-12-17T00:00:04+00:00,0.825
1734480003,2024-12-18T00:00:03+00:00,0.835
1734566403,2024-12-19T00:00:03+00:00,0.915
1734652804,2024-12-20T00:00:04+00:00,0.92
1734739203,2024-12-21T00:00:03+00:00,0.905
1734825604,2024-12-22T00:00:04+00:00,0.905
1734912004,2024-12-23T00:00:04+00:00,0.905
1734998403,2024-12-24T00:00:03+00:00,0.915
1735084803,2024-12-25T00:00:03+00:00,0.915
1735171204,2024-12-26T00:00:04+00:00,0.915
1735257603,2024-12-27T00:00:03+00:00,0.915
1735344003,2024-12-28T00:00:03+00:00,0.905
1735430403,2024-12-29T00:00:03+00:00,0.905
1735516803,2024-12-30T00:00:03+00:00,0.915
1735603204,2024-12-31T00:00:04+00:00,0.915
1735689604,2025-01-01T00:00:04+00:00,0.915
1735776003,2025-01-02T00:00:03+00:00,0.915
1735862404,2025-01-03T00:00:04+00:00,0.915
1735948803,2025-01-04T00:00:03+00:00,0.915
1736035203,2025-01-05T00:00:03+00:00,0.915
1736121603,2025-01-06T00:00:03+00:00,0.915
1736208004,2025-01-07T00:00:04+00:00,0.915
1736294403,2025-01-08T00:00:03+00:00,0.925
1736380803,2025-01-09T00:00:03+00:00,0.945
1736467204,2025-01-10T00:00:04+00:00,0.945
1736553604,2025-01-11T00:00:04+00:00,0.9805
1736640004,2025-01-12T00:00:04+00:00,0.979
1736726404,2025-01-13T00:00:04+00:00,0.9685
1736812803,2025-01-14T00:00:03+00:00,0.9715
1736899203,2025-01-15T00:00:03+00:00,0.9705
1736985604,2025-01-16T00:00:04+00:00,0.969
1737072004,2025-01-17T00:00:04+00:00,0.976
1737158404,2025-01-18T00:00:04+00:00,0.97
1737244804,2025-01-19T00:00:04+00:00,0.973
1737331204,2025-01-20T00:00:04+00:00,0.971
1737417603,2025-01-21T00:00:03+00:00,0.9895
1737504003,2025-01-22T00:00:03+00:00,0.982
1737590404,2025-01-23T00:00:04+00:00,0.991
1737676803,2025-01-24T00:00:03+00:00,0.9895
1737763205,2025-01-25T00:00:05+00:00,0.989
1737849604,2025-01-26T00:00:04+00:00,0.985
1737936004,2025-01-27T00:00:04+00:00,0.9805
1738022404,2025-01-28T00:00:04+00:00,0.981
1738108804,2025-01-29T00:00:04+00:00,0.9875
