timestamp_unix,datetime_utc,decreases_25_july_2025_yes
1752364808,2025-07-13T00:00:08+00:00,0.044
1752451207,2025-07-14T00:00:07+00:00,0.046
1752537608,2025-07-15T00:00:08+00:00,0.053
1752624008,2025-07-16T00:00:08+00:00,0.0285
1752710408,2025-07-17T00:00:08+00:00,0.0275
1752796808,2025-07-18T00:00:08+00:00,0.038
1752883209,2025-07-19T00:00:09+00:00,0.0345
1752969608,2025-07-20T00:00:08+00:00,0.0335
1753056007,2025-07-21T00:00:07+00:00,0.035
1753142409,2025-07-22T00:00:09+00:00,0.0395
1753228809,2025-07-23T00:00:09+00:00,0.0385
1753315209,2025-07-24T00:00:09+00:00,0.0305
1753401609,2025-07-25T00:00:09+00:00,0.0285
1753488009,2025-07-26T00:00:09+00:00,0.0335
1753574410,2025-07-27T00:00:10+00:00,0.038
1753660809,2025-07-28T00:00:09+00:00,0.042
1753747210,2025-07-29T00:00:10+00:00,0.0325
1753833610,2025-07-30T00:00:10+00:00,0.0175
