timestamp_unix,datetime_utc,decreases_25_december_2025_yes
1764460816,2025-11-30T00:00:16+00:00,0.875
1764547218,2025-12-01T00:00:18+00:00,0.885
1764633613,2025-12-02T00:00:13+00:00,0.885
1764720020,2025-12-03T00:00:20+00:00,0.915
1764806413,2025-12-04T00:00:13+00:00,0.935
1764892815,2025-12-05T00:00:15+00:00,0.925
1764979216,2025-12-06T00:00:16+00:00,0.935
1765065628,2025-12-07T00:00:28+00:00,0.925
1765152028,2025-12-08T00:00:28+00:00,0.925
1765238425,2025-12-09T00:00:25+00:00,0.935
1765324813,2025-12-10T00:00:13+00:00,0.9685
