timestamp_unix,datetime_utc,decreases_25_december_2025_no
1764547214,2025-12-01T00:00:14+00:00,0.115
1764633611,2025-12-02T00:00:11+00:00,0.115
1764720015,2025-12-03T00:00:15+00:00,0.085
1764806411,2025-12-04T00:00:11+00:00,0.065
1764892812,2025-12-05T00:00:12+00:00,0.075
1764979213,2025-12-06T00:00:13+00:00,0.065
1765065626,2025-12-07T00:00:26+00:00,0.075
1765152025,2025-12-08T00:00:25+00:00,0.075
1765238423,2025-12-09T00:00:23+00:00,0.065
1765324811,2025-12-10T00:00:11+00:00,0.0315
