timestamp_unix,datetime_utc,decreases_50_december_2025_yes
1764374422,2025-11-29T00:00:22+00:00,0.0115
1764460817,2025-11-30T00:00:17+00:00,0.0115
1764547219,2025-12-01T00:00:19+00:00,0.0105
1764633613,2025-12-02T00:00:13+00:00,0.0095
1764720020,2025-12-03T00:00:20+00:00,0.0075
1764806414,2025-12-04T00:00:14+00:00,0.0065
1764892815,2025-12-05T00:00:15+00:00,0.0045
1764979216,2025-12-06T00:00:16+00:00,0.0065
1765065629,2025-12-07T00:00:29+00:00,0.0065
1765152028,2025-12-08T00:00:28+00:00,0.0065
1765238426,2025-12-09T00:00:26+00:00,0.008
1765324814,2025-12-10T00:00:14+00:00,0.0045
