timestamp_unix,datetime_utc,no_change_december_2025_no
1764547216,2025-12-01T00:00:16+00:00,0.895
1764633611,2025-12-02T00:00:11+00:00,0.895
1764720017,2025-12-03T00:00:17+00:00,0.925
1764806412,2025-12-04T00:00:12+00:00,0.945
1764892813,2025-12-05T00:00:13+00:00,0.925
1764979214,2025-12-06T00:00:14+00:00,0.935
1765065627,2025-12-07T00:00:27+00:00,0.925
1765152026,2025-12-08T00:00:26+00:00,0.935
1765238424,2025-12-09T00:00:24+00:00,0.945
1765324812,2025-12-10T00:00:12+00:00,0.972
