timestamp_unix,datetime_utc,decreases_50_december_2025_no
1764460824,2025-11-30T00:00:24+00:00,0.9885
1764547228,2025-12-01T00:00:28+00:00,0.9895
1764633618,2025-12-02T00:00:18+00:00,0.9905
1764720028,2025-12-03T00:00:28+00:00,0.9925
1764806418,2025-12-04T00:00:18+00:00,0.9935
1764892820,2025-12-05T00:00:20+00:00,0.9955
1764979221,2025-12-06T00:00:21+00:00,0.9935
1765065634,2025-12-07T00:00:34+00:00,0.9935
1765152033,2025-12-08T00:00:33+00:00,0.9935
1765238430,2025-12-09T00:00:30+00:00,0.992
1765324817,2025-12-10T00:00:17+00:00,0.9955
