timestamp_unix,datetime_utc,increase_4_0_june_2026_yes
1781136013,2026-06-11T00:00:13+00:00,0.185
1781222409,2026-06-12T00:00:09+00:00,0.355
1781308809,2026-06-13T00:00:09+00:00,0.135
1781395213,2026-06-14T00:00:13+00:00,0.095
1781481610,2026-06-15T00:00:10+00:00,0.13
1781568014,2026-06-16T00:00:14+00:00,0.065
1781654412,2026-06-17T00:00:12+00:00,0.055
1781740831,2026-06-18T00:00:31+00:00,0.055
1781827229,2026-06-19T00:00:29+00:00,0.05
1781913611,2026-06-20T00:00:11+00:00,0.04
1782000013,2026-06-21T00:00:13+00:00,0.045
1782086412,2026-06-22T00:00:12+00:00,0.045
1782172816,2026-06-23T00:00:16+00:00,0.04
1782259212,2026-06-24T00:00:12+00:00,0.0325
1782345620,2026-06-25T00:00:20+00:00,0.047
1782432011,2026-06-26T00:00:11+00:00,0.0445
1782518413,2026-06-27T00:00:13+00:00,0.0355
1782604810,2026-06-28T00:00:10+00:00,0.0375
1782691211,2026-06-29T00:00:11+00:00,0.0375
1782777612,2026-06-30T00:00:12+00:00,0.036
1782864016,2026-07-01T00:00:16+00:00,0.021
1782950415,2026-07-02T00:00:15+00:00,0.055
1783036814,2026-07-03T00:00:14+00:00,0.032
1783123212,2026-07-04T00:00:12+00:00,0.0285
1783209612,2026-07-05T00:00:12+00:00,0.0245
1783296005,2026-07-06T00:00:05+00:00,0.0295
1783382411,2026-07-07T00:00:11+00:00,0.027
1783468807,2026-07-08T00:00:07+00:00,0.0585
1783555214,2026-07-09T00:00:14+00:00,0.0465
1783641611,2026-07-10T00:00:11+00:00,0.0265
1783728010,2026-07-11T00:00:10+00:00,0.0315
1783814423,2026-07-12T00:00:23+00:00,0.0305
1783900813,2026-07-13T00:00:13+00:00,0.0275
1783987210,2026-07-14T00:00:10+00:00,0.035
