timestamp_unix,datetime_utc,increase_4_4_june_2026_no
1781136005,2026-06-11T00:00:05+00:00,0.865
1781222404,2026-06-12T00:00:04+00:00,0.9975
1781308804,2026-06-13T00:00:04+00:00,0.994
1781395207,2026-06-14T00:00:07+00:00,0.9985
1781481603,2026-06-15T00:00:03+00:00,0.9985
1781568006,2026-06-16T00:00:06+00:00,0.9995
1781654405,2026-06-17T00:00:05+00:00,0.9985
1781740816,2026-06-18T00:00:16+00:00,0.9985
1781827221,2026-06-19T00:00:21+00:00,0.9985
1781913604,2026-06-20T00:00:04+00:00,0.9985
1782000006,2026-06-21T00:00:06+00:00,0.9605
1782086405,2026-06-22T00:00:05+00:00,0.9925
1782172804,2026-06-23T00:00:04+00:00,0.9985
1782259204,2026-06-24T00:00:04+00:00,0.9995
1782345604,2026-06-25T00:00:04+00:00,0.9995
1782432003,2026-06-26T00:00:03+00:00,0.9995
1782518404,2026-06-27T00:00:04+00:00,0.9995
1782604804,2026-06-28T00:00:04+00:00,0.9995
1782691203,2026-06-29T00:00:03+00:00,0.9985
1782777604,2026-06-30T00:00:04+00:00,0.9995
1782864003,2026-07-01T00:00:03+00:00,0.999
1782950404,2026-07-02T00:00:04+00:00,0.9995
1783036804,2026-07-03T00:00:04+00:00,0.9995
1783123207,2026-07-04T00:00:07+00:00,0.9995
1783209603,2026-07-05T00:00:03+00:00,0.9995
1783296004,2026-07-06T00:00:04+00:00,0.9995
1783382409,2026-07-07T00:00:09+00:00,0.9995
1783468805,2026-07-08T00:00:05+00:00,0.9995
1783555212,2026-07-09T00:00:12+00:00,0.9995
1783641608,2026-07-10T00:00:08+00:00,0.9995
1783728008,2026-07-11T00:00:08+00:00,0.9995
1783814420,2026-07-12T00:00:20+00:00,0.9995
1783900808,2026-07-13T00:00:08+00:00,0.9995
1783987208,2026-07-14T00:00:08+00:00,0.9995
