timestamp_unix,datetime_utc,increase_3_8_june_2026_no
1781136012,2026-06-11T00:00:12+00:00,0.925
1781222408,2026-06-12T00:00:08+00:00,0.8455
1781308808,2026-06-13T00:00:08+00:00,0.6655
1781395212,2026-06-14T00:00:12+00:00,0.607
1781481608,2026-06-15T00:00:08+00:00,0.6975
1781568012,2026-06-16T00:00:12+00:00,0.6155
1781654411,2026-06-17T00:00:11+00:00,0.5975
1781740828,2026-06-18T00:00:28+00:00,0.5885
1781827227,2026-06-19T00:00:27+00:00,0.5855
1781913608,2026-06-20T00:00:08+00:00,0.5805
1782000012,2026-06-21T00:00:12+00:00,0.584
1782086411,2026-06-22T00:00:11+00:00,0.5585
1782172812,2026-06-23T00:00:12+00:00,0.4595
1782259210,2026-06-24T00:00:10+00:00,0.4785
1782345618,2026-06-25T00:00:18+00:00,0.4715
1782432009,2026-06-26T00:00:09+00:00,0.47
1782518410,2026-06-27T00:00:10+00:00,0.4925
1782604809,2026-06-28T00:00:09+00:00,0.473
1782691209,2026-06-29T00:00:09+00:00,0.4935
1782777611,2026-06-30T00:00:11+00:00,0.5455
1782864009,2026-07-01T00:00:09+00:00,0.533
1782950413,2026-07-02T00:00:13+00:00,0.55
1783036810,2026-07-03T00:00:10+00:00,0.5165
1783123210,2026-07-04T00:00:10+00:00,0.5155
1783209610,2026-07-05T00:00:10+00:00,0.509
1783296005,2026-07-06T00:00:05+00:00,0.5065
1783382411,2026-07-07T00:00:11+00:00,0.478
1783468807,2026-07-08T00:00:07+00:00,0.4825
1783555214,2026-07-09T00:00:14+00:00,0.4805
1783641611,2026-07-10T00:00:11+00:00,0.5055
1783728010,2026-07-11T00:00:10+00:00,0.512
1783814422,2026-07-12T00:00:22+00:00,0.5215
1783900812,2026-07-13T00:00:12+00:00,0.5045
1783987210,2026-07-14T00:00:10+00:00,0.522
