timestamp_unix,datetime_utc,increase_4_3_june_2026_no
1781136012,2026-06-11T00:00:12+00:00,0.845
1781222408,2026-06-12T00:00:08+00:00,0.9895
1781308808,2026-06-13T00:00:08+00:00,0.985
1781395212,2026-06-14T00:00:12+00:00,0.988
1781481608,2026-06-15T00:00:08+00:00,0.9855
1781568012,2026-06-16T00:00:12+00:00,0.9895
1781654411,2026-06-17T00:00:11+00:00,0.9985
1781740828,2026-06-18T00:00:28+00:00,0.9965
1781827227,2026-06-19T00:00:27+00:00,0.996
1781913608,2026-06-20T00:00:08+00:00,0.997
1782000012,2026-06-21T00:00:12+00:00,0.9935
1782086411,2026-06-22T00:00:11+00:00,0.9975
1782172812,2026-06-23T00:00:12+00:00,0.9985
1782259210,2026-06-24T00:00:10+00:00,0.9985
1782345618,2026-06-25T00:00:18+00:00,0.9985
1782432009,2026-06-26T00:00:09+00:00,0.9985
1782518410,2026-06-27T00:00:10+00:00,0.9985
1782604809,2026-06-28T00:00:09+00:00,0.9985
1782691209,2026-06-29T00:00:09+00:00,0.9985
1782777611,2026-06-30T00:00:11+00:00,0.9985
1782864014,2026-07-01T00:00:14+00:00,0.9985
1782950413,2026-07-02T00:00:13+00:00,0.9985
1783036810,2026-07-03T00:00:10+00:00,0.9985
1783123211,2026-07-04T00:00:11+00:00,0.9985
1783209610,2026-07-05T00:00:10+00:00,0.9985
1783296005,2026-07-06T00:00:05+00:00,0.9985
1783382411,2026-07-07T00:00:11+00:00,0.9985
1783468807,2026-07-08T00:00:07+00:00,0.9985
1783555214,2026-07-09T00:00:14+00:00,0.998
1783641611,2026-07-10T00:00:11+00:00,0.998
1783728010,2026-07-11T00:00:10+00:00,0.998
1783814422,2026-07-12T00:00:22+00:00,0.9985
1783900812,2026-07-13T00:00:12+00:00,0.9985
1783987210,2026-07-14T00:00:10+00:00,0.9995
