timestamp_unix,datetime_utc,increase_2_5_february_2026_no
1771027249,2026-02-14T00:00:49+00:00,0.615
1771113649,2026-02-15T00:00:49+00:00,0.775
1771200058,2026-02-16T00:00:58+00:00,0.75
1771286451,2026-02-17T00:00:51+00:00,0.725
1771372854,2026-02-18T00:00:54+00:00,0.705
1771459258,2026-02-19T00:00:58+00:00,0.705
1771545653,2026-02-20T00:00:53+00:00,0.69
1771632035,2026-02-21T00:00:35+00:00,0.685
1771718435,2026-02-22T00:00:35+00:00,0.675
1771804842,2026-02-23T00:00:42+00:00,0.655
1771891243,2026-02-24T00:00:43+00:00,0.64
1771977649,2026-02-25T00:00:49+00:00,0.66
1772064043,2026-02-26T00:00:43+00:00,0.635
1772150449,2026-02-27T00:00:49+00:00,0.64
1772236847,2026-02-28T00:00:47+00:00,0.6
1772409658,2026-03-02T00:00:58+00:00,0.57
1772496053,2026-03-03T00:00:53+00:00,0.585
1772582453,2026-03-04T00:00:53+00:00,0.605
1772668850,2026-03-05T00:00:50+00:00,0.6
1772755249,2026-03-06T00:00:49+00:00,0.59
1772841654,2026-03-07T00:00:54+00:00,0.585
1772928043,2026-03-08T00:00:43+00:00,0.56
1773014440,2026-03-09T00:00:40+00:00,0.57
1773100848,2026-03-10T00:00:48+00:00,0.545
1773187251,2026-03-11T00:00:51+00:00,0.685
