timestamp_unix,datetime_utc,increase_3_2_september_2025_yes
1757635211,2025-09-12T00:00:11+00:00,0.285
1757721611,2025-09-13T00:00:11+00:00,0.245
1757808011,2025-09-14T00:00:11+00:00,0.225
1757894407,2025-09-15T00:00:07+00:00,0.225
1757980805,2025-09-16T00:00:05+00:00,0.195
1758067212,2025-09-17T00:00:12+00:00,0.195
1758153602,2025-09-18T00:00:02+00:00,0.17
1758240012,2025-09-19T00:00:12+00:00,0.165
1758326421,2025-09-20T00:00:21+00:00,0.165
1758412811,2025-09-21T00:00:11+00:00,0.16
1758499204,2025-09-22T00:00:04+00:00,0.165
1758585611,2025-09-23T00:00:11+00:00,0.175
1758672007,2025-09-24T00:00:07+00:00,0.165
1758758406,2025-09-25T00:00:06+00:00,0.16
1758844811,2025-09-26T00:00:11+00:00,0.13
1758931211,2025-09-27T00:00:11+00:00,0.135
1759017603,2025-09-28T00:00:03+00:00,0.135
1759104009,2025-09-29T00:00:09+00:00,0.125
1759190405,2025-09-30T00:00:05+00:00,0.125
1759276809,2025-10-01T00:00:09+00:00,0.125
1759363209,2025-10-02T00:00:09+00:00,0.125
1759449605,2025-10-03T00:00:05+00:00,0.15
1759536005,2025-10-04T00:00:05+00:00,0.155
1759622406,2025-10-05T00:00:06+00:00,0.19
1759708806,2025-10-06T00:00:06+00:00,0.16
1759795208,2025-10-07T00:00:08+00:00,0.17
1759881603,2025-10-08T00:00:03+00:00,0.17
1759968007,2025-10-09T00:00:07+00:00,0.155
1760054404,2025-10-10T00:00:04+00:00,0.15
1760140813,2025-10-11T00:00:13+00:00,0.175
1760227215,2025-10-12T00:00:15+00:00,0.165
1760313605,2025-10-13T00:00:05+00:00,0.16
1760400016,2025-10-14T00:00:16+00:00,0.145
1760486416,2025-10-15T00:00:16+00:00,0.15
1760572808,2025-10-16T00:00:08+00:00,0.135
1760659206,2025-10-17T00:00:06+00:00,0.105
1760745611,2025-10-18T00:00:11+00:00,0.085
1760832019,2025-10-19T00:00:19+00:00,0.09
1760918408,2025-10-20T00:00:08+00:00,0.08
1761004817,2025-10-21T00:00:17+00:00,0.075
1761091212,2025-10-22T00:00:12+00:00,0.075
1761177608,2025-10-23T00:00:08+00:00,0.0485
1761264011,2025-10-24T00:00:11+00:00,0.057
