timestamp_unix,datetime_utc,increase_3_2_september_2025_no
1757635203,2025-09-12T00:00:03+00:00,0.715
1757721612,2025-09-13T00:00:12+00:00,0.755
1757808021,2025-09-14T00:00:21+00:00,0.775
1757894413,2025-09-15T00:00:13+00:00,0.775
1757980817,2025-09-16T00:00:17+00:00,0.805
1758067219,2025-09-17T00:00:19+00:00,0.805
1758153604,2025-09-18T00:00:04+00:00,0.83
1758240005,2025-09-19T00:00:05+00:00,0.835
1758326422,2025-09-20T00:00:22+00:00,0.835
1758412804,2025-09-21T00:00:04+00:00,0.84
1758499214,2025-09-22T00:00:14+00:00,0.835
1758585605,2025-09-23T00:00:05+00:00,0.825
1758672009,2025-09-24T00:00:09+00:00,0.835
1758758408,2025-09-25T00:00:08+00:00,0.84
1758844811,2025-09-26T00:00:11+00:00,0.87
1758931211,2025-09-27T00:00:11+00:00,0.865
1759017610,2025-09-28T00:00:10+00:00,0.865
1759104006,2025-09-29T00:00:06+00:00,0.875
1759190404,2025-09-30T00:00:04+00:00,0.875
1759276803,2025-10-01T00:00:03+00:00,0.875
1759363205,2025-10-02T00:00:05+00:00,0.875
1759449605,2025-10-03T00:00:05+00:00,0.85
1759536002,2025-10-04T00:00:02+00:00,0.845
1759622402,2025-10-05T00:00:02+00:00,0.81
1759708804,2025-10-06T00:00:04+00:00,0.84
1759795209,2025-10-07T00:00:09+00:00,0.83
1759881609,2025-10-08T00:00:09+00:00,0.83
1759968013,2025-10-09T00:00:13+00:00,0.845
1760054406,2025-10-10T00:00:06+00:00,0.85
1760140810,2025-10-11T00:00:10+00:00,0.825
1760227208,2025-10-12T00:00:08+00:00,0.835
1760313609,2025-10-13T00:00:09+00:00,0.84
1760400008,2025-10-14T00:00:08+00:00,0.855
1760486416,2025-10-15T00:00:16+00:00,0.85
1760572820,2025-10-16T00:00:20+00:00,0.865
1760659213,2025-10-17T00:00:13+00:00,0.895
1760745615,2025-10-18T00:00:15+00:00,0.915
1760832006,2025-10-19T00:00:06+00:00,0.91
1760918408,2025-10-20T00:00:08+00:00,0.92
1761004818,2025-10-21T00:00:18+00:00,0.925
1761091217,2025-10-22T00:00:17+00:00,0.925
1761177609,2025-10-23T00:00:09+00:00,0.9515
1761264014,2025-10-24T00:00:14+00:00,0.943
