timestamp_unix,datetime_utc,increase_3_0_september_2025_no
1757635205,2025-09-12T00:00:05+00:00,0.8
1757721610,2025-09-13T00:00:10+00:00,0.695
1757808012,2025-09-14T00:00:12+00:00,0.69
1757894410,2025-09-15T00:00:10+00:00,0.69
1757980821,2025-09-16T00:00:21+00:00,0.685
1758067209,2025-09-17T00:00:09+00:00,0.665
1758153602,2025-09-18T00:00:02+00:00,0.655
1758240016,2025-09-19T00:00:16+00:00,0.655
1758326413,2025-09-20T00:00:13+00:00,0.66
1758412810,2025-09-21T00:00:10+00:00,0.675
1758499207,2025-09-22T00:00:07+00:00,0.675
1758585612,2025-09-23T00:00:12+00:00,0.68
1758672003,2025-09-24T00:00:03+00:00,0.675
1758758404,2025-09-25T00:00:04+00:00,0.665
1758844814,2025-09-26T00:00:14+00:00,0.675
1758931203,2025-09-27T00:00:03+00:00,0.675
1759017612,2025-09-28T00:00:12+00:00,0.665
1759104006,2025-09-29T00:00:06+00:00,0.675
1759190402,2025-09-30T00:00:02+00:00,0.62
1759276803,2025-10-01T00:00:03+00:00,0.625
1759363204,2025-10-02T00:00:04+00:00,0.625
1759449606,2025-10-03T00:00:06+00:00,0.625
1759536003,2025-10-04T00:00:03+00:00,0.635
1759622409,2025-10-05T00:00:09+00:00,0.625
1759708804,2025-10-06T00:00:04+00:00,0.61
1759795210,2025-10-07T00:00:10+00:00,0.62
1759881610,2025-10-08T00:00:10+00:00,0.625
1759968007,2025-10-09T00:00:07+00:00,0.63
1760054417,2025-10-10T00:00:17+00:00,0.63
1760140811,2025-10-11T00:00:11+00:00,0.605
1760227216,2025-10-12T00:00:16+00:00,0.615
1760313615,2025-10-13T00:00:15+00:00,0.65
1760400005,2025-10-14T00:00:05+00:00,0.64
1760486409,2025-10-15T00:00:09+00:00,0.65
1760572809,2025-10-16T00:00:09+00:00,0.635
1760659215,2025-10-17T00:00:15+00:00,0.65
1760745616,2025-10-18T00:00:16+00:00,0.63
1760832010,2025-10-19T00:00:10+00:00,0.63
1760918416,2025-10-20T00:00:16+00:00,0.615
1761004805,2025-10-21T00:00:05+00:00,0.615
1761091219,2025-10-22T00:00:19+00:00,0.575
1761177610,2025-10-23T00:00:10+00:00,0.555
1761264015,2025-10-24T00:00:15+00:00,0.565
