Date,cut_50,cut_25,hold,hike_25,expected_rate_change_fomc,rate_uncertainty_fomc,probability_cut_fomc,probability_hike_fomc,entropy_fomc,us_recession,entropy_us_recession,change_1d,change_5d,cpi_<=2.7,cpi_2.8,cpi_2.9,cpi_>=3.0,expected_cpi,uncertainty_cpi,entropy_cpi
2025-01-21,0.0025,0.0105,0.985,0.0025,-0.325,3.777489617788512,0.013000000000000001,0.0025,0.13371798776222177,0.255,0.819107179827683,-0.010000000000000009,0.04000000000000001,0.0135,0.08,0.38,0.57,3.07245,0.14867339744806396,1.3680592188492326
2025-01-22,0.0025,0.018,0.9775,0.0025,-0.5125,4.335893803833876,0.020499999999999997,0.0025,0.17963743418368605,0.235,0.7866261099706012,-0.020000000000000018,-0.010000000000000009,0.0145,0.0285,0.285,0.65,2.8954500000000003,0.08901922289595637,1.1549434393413456
2025-01-23,0.0005,0.009,0.988,0.0015,-0.21249999999999997,2.7869873687819258,0.0095,0.0015,0.0979249068077009,0.255,0.819107179827683,0.020000000000000018,0.010000000000000009,0.008,0.007,0.25,0.74,2.9861999999999997,0.053819254918662664,0.9272933696834016
2025-01-24,0.0015,0.0105,0.9885,0.0015,-0.30000000000000004,3.3406855583846857,0.012,0.0015,0.11365909435174867,0.255,0.819107179827683,0.0,0.010000000000000009,0.0085,0.0115,0.25,0.73,2.97015,0.0532351152905674,0.9639943796010947
2025-01-25,0.0015,0.011,0.9875,0.0015,-0.3125,3.385999148608133,0.012499999999999999,0.0015,0.11763284955447659,0.255,0.819107179827683,0.0,-0.010000000000000009,0.009,0.018,0.23,0.745,2.9767,0.05485066799957868,0.9695481880398671
2025-01-26,0.0015,0.015,0.9825,0.0015,-0.41250000000000003,3.7272548649274038,0.0165,0.0015,0.14405082117221243,0.255,0.819107179827683,0.0,0.0,0.009,0.017,0.23,0.745,2.9739,0.054340327658195096,0.965154185479911
2025-01-27,0.0015,0.0195,0.979,0.0015,-0.525,4.074283794423261,0.021,0.0015,0.16888614675708546,0.245,0.8032566997760641,-0.010000000000000009,0.010000000000000009,0.0125,0.027,0.22,0.745,2.98235,0.06015255066287713,1.0166840336016483
2025-01-28,0.0015,0.019,0.9795,0.0015,-0.5125,4.037355289589337,0.0205,0.0015,0.1660517530503871,0.245,0.8032566997760641,0.0,-0.010000000000000009,0.018,0.0195,0.175,0.775,2.9357,0.06918329910462485,0.9401353556141381
2025-01-29,0.0015,0.0125,0.9855,0.0015,-0.35000000000000003,3.518184546040756,0.014,0.0015,0.1279332429140463,0.245,0.8032566997760641,0.0,-0.010000000000000009,0.023,0.0245,0.19,0.765,2.9767,0.06371002452518758,1.0071471713720175
2025-01-30,0.0215,0.185,0.785,0.013,-5.375,12.195875647631867,0.2065,0.013,0.9250634928191127,0.245,0.8032566997760641,0.0,-0.010000000000000009,0.022,0.024,0.15,0.795,2.9466,0.06668115145976407,0.9239480420119022
2025-01-31,0.014,0.145,0.825,0.0105,-4.062499999999999,10.751410245434084,0.159,0.0105,0.7881568461614247,0.245,0.8032566997760641,0.0,-0.010000000000000009,0.0225,0.022,0.16,0.745,2.82135,0.15845623516842136,0.9837125143918402
