timestamp_unix,datetime_utc,increase_4_1_may_2026_yes
1778630411,2026-05-13T00:00:11+00:00,0.32
1778716816,2026-05-14T00:00:16+00:00,0.1
1778803209,2026-05-15T00:00:09+00:00,0.075
1778889616,2026-05-16T00:00:16+00:00,0.08
1778976026,2026-05-17T00:00:26+00:00,0.085
1779062407,2026-05-18T00:00:07+00:00,0.0335
1779148805,2026-05-19T00:00:05+00:00,0.0275
1779235211,2026-05-20T00:00:11+00:00,0.0145
1779321605,2026-05-21T00:00:05+00:00,0.014
1779408014,2026-05-22T00:00:14+00:00,0.013
1779494409,2026-05-23T00:00:09+00:00,0.0105
1779580804,2026-05-24T00:00:04+00:00,0.01
1779667204,2026-05-25T00:00:04+00:00,0.0075
1779753604,2026-05-26T00:00:04+00:00,0.0125
1779840005,2026-05-27T00:00:05+00:00,0.036
1779926405,2026-05-28T00:00:05+00:00,0.0305
1780012807,2026-05-29T00:00:07+00:00,0.0515
1780099218,2026-05-30T00:00:18+00:00,0.045
1780185607,2026-05-31T00:00:07+00:00,0.0465
1780272003,2026-06-01T00:00:03+00:00,0.053
1780358405,2026-06-02T00:00:05+00:00,0.0625
1780444805,2026-06-03T00:00:05+00:00,0.0575
1780531203,2026-06-04T00:00:03+00:00,0.088
1780617618,2026-06-05T00:00:18+00:00,0.092
1780704003,2026-06-06T00:00:03+00:00,0.074
1780790413,2026-06-07T00:00:13+00:00,0.1245
1780876803,2026-06-08T00:00:03+00:00,0.1135
1780963203,2026-06-09T00:00:03+00:00,0.069
1781049604,2026-06-10T00:00:04+00:00,0.071
