timestamp_unix,datetime_utc,increase_4_2_may_2026_yes
1778630413,2026-05-13T00:00:13+00:00,0.32
1778716818,2026-05-14T00:00:18+00:00,0.23
1778803211,2026-05-15T00:00:11+00:00,0.225
1778889618,2026-05-16T00:00:18+00:00,0.235
1778976028,2026-05-17T00:00:28+00:00,0.245
1779062413,2026-05-18T00:00:13+00:00,0.245
1779148809,2026-05-19T00:00:09+00:00,0.265
1779235213,2026-05-20T00:00:13+00:00,0.255
1779321615,2026-05-21T00:00:15+00:00,0.215
1779408018,2026-05-22T00:00:18+00:00,0.215
1779494412,2026-05-23T00:00:12+00:00,0.225
1779580808,2026-05-24T00:00:08+00:00,0.215
1779667207,2026-05-25T00:00:07+00:00,0.22
1779753607,2026-05-26T00:00:07+00:00,0.325
1779840009,2026-05-27T00:00:09+00:00,0.31
1779926411,2026-05-28T00:00:11+00:00,0.36
1780012813,2026-05-29T00:00:13+00:00,0.39
1780099222,2026-05-30T00:00:22+00:00,0.38
1780185610,2026-05-31T00:00:10+00:00,0.39
1780272006,2026-06-01T00:00:06+00:00,0.395
1780358408,2026-06-02T00:00:08+00:00,0.42
1780444808,2026-06-03T00:00:08+00:00,0.445
1780531206,2026-06-04T00:00:06+00:00,0.45
1780617619,2026-06-05T00:00:19+00:00,0.46
1780704004,2026-06-06T00:00:04+00:00,0.445
1780790415,2026-06-07T00:00:15+00:00,0.45
1780876805,2026-06-08T00:00:05+00:00,0.45
1780963206,2026-06-09T00:00:06+00:00,0.48
1781049607,2026-06-10T00:00:07+00:00,0.5
