timestamp_unix,datetime_utc,increase_3_7_may_2026_no
1778630416,2026-05-13T00:00:16+00:00,0.845
1778716823,2026-05-14T00:00:23+00:00,0.977
1778803213,2026-05-15T00:00:13+00:00,0.984
1778889620,2026-05-16T00:00:20+00:00,0.9735
1778976030,2026-05-17T00:00:30+00:00,0.994
1779062415,2026-05-18T00:00:15+00:00,0.9955
1779148811,2026-05-19T00:00:11+00:00,0.9975
1779235215,2026-05-20T00:00:15+00:00,0.997
1779321617,2026-05-21T00:00:17+00:00,0.9965
1779408029,2026-05-22T00:00:29+00:00,0.997
1779494414,2026-05-23T00:00:14+00:00,0.9965
1779580809,2026-05-24T00:00:09+00:00,0.9965
1779667209,2026-05-25T00:00:09+00:00,0.9965
1779753610,2026-05-26T00:00:10+00:00,0.9965
1779840010,2026-05-27T00:00:10+00:00,0.9985
1779926414,2026-05-28T00:00:14+00:00,0.9985
1780012818,2026-05-29T00:00:18+00:00,0.9985
1780099224,2026-05-30T00:00:24+00:00,0.9985
1780185613,2026-05-31T00:00:13+00:00,0.9985
1780272009,2026-06-01T00:00:09+00:00,0.9985
1780358410,2026-06-02T00:00:10+00:00,0.9985
1780444810,2026-06-03T00:00:10+00:00,0.9985
1780531206,2026-06-04T00:00:06+00:00,0.9985
1780617619,2026-06-05T00:00:19+00:00,0.9985
1780704005,2026-06-06T00:00:05+00:00,0.9985
1780790416,2026-06-07T00:00:16+00:00,0.9985
1780876806,2026-06-08T00:00:06+00:00,0.9985
1780963208,2026-06-09T00:00:08+00:00,0.9985
1781049608,2026-06-10T00:00:08+00:00,0.9985
