timestamp_unix,datetime_utc,increase_3_0_january_2026_no
1766188808,2025-12-20T00:00:08+00:00,0.515
1766275208,2025-12-21T00:00:08+00:00,0.87
1766361607,2025-12-22T00:00:07+00:00,0.915
1766448008,2025-12-23T00:00:08+00:00,0.9
1766534409,2025-12-24T00:00:09+00:00,0.969
1766620818,2025-12-25T00:00:18+00:00,0.923
1766707208,2025-12-26T00:00:08+00:00,0.911
1766793610,2025-12-27T00:00:10+00:00,0.935
1766880010,2025-12-28T00:00:10+00:00,0.9365
1766966425,2025-12-29T00:00:25+00:00,0.952
1767052813,2025-12-30T00:00:13+00:00,0.9535
1767139209,2025-12-31T00:00:09+00:00,0.9565
1767225609,2026-01-01T00:00:09+00:00,0.9565
1767312009,2026-01-02T00:00:09+00:00,0.9665
1767398409,2026-01-03T00:00:09+00:00,0.9705
1767484810,2026-01-04T00:00:10+00:00,0.976
1767571210,2026-01-05T00:00:10+00:00,0.986
1767657613,2026-01-06T00:00:13+00:00,0.986
1767744010,2026-01-07T00:00:10+00:00,0.9865
1767830425,2026-01-08T00:00:25+00:00,0.981
1767916810,2026-01-09T00:00:10+00:00,0.981
1768003211,2026-01-10T00:00:11+00:00,0.981
1768089611,2026-01-11T00:00:11+00:00,0.967
1768176012,2026-01-12T00:00:12+00:00,0.9725
1768262412,2026-01-13T00:00:12+00:00,0.9815
1768348811,2026-01-14T00:00:11+00:00,0.99
1768435212,2026-01-15T00:00:12+00:00,0.9825
1768521613,2026-01-16T00:00:13+00:00,0.986
1768608012,2026-01-17T00:00:12+00:00,0.9855
1768694414,2026-01-18T00:00:14+00:00,0.986
1768780811,2026-01-19T00:00:11+00:00,0.98
1768867212,2026-01-20T00:00:12+00:00,0.9785
1768953613,2026-01-21T00:00:13+00:00,0.9805
1769040014,2026-01-22T00:00:14+00:00,0.982
1769126427,2026-01-23T00:00:27+00:00,0.9735
1769212816,2026-01-24T00:00:16+00:00,0.9835
1769299229,2026-01-25T00:00:29+00:00,0.9845
1769385626,2026-01-26T00:00:26+00:00,0.9755
1769472024,2026-01-27T00:00:24+00:00,0.979
1769558415,2026-01-28T00:00:15+00:00,0.96
1769644829,2026-01-29T00:00:29+00:00,0.963
1769731216,2026-01-30T00:00:16+00:00,0.9615
1769817615,2026-01-31T00:00:15+00:00,0.9745
1769904018,2026-02-01T00:00:18+00:00,0.9655
1769990415,2026-02-02T00:00:15+00:00,0.9855
1770076815,2026-02-03T00:00:15+00:00,0.982
1770163227,2026-02-04T00:00:27+00:00,0.9825
1770249614,2026-02-05T00:00:14+00:00,0.995
1770336016,2026-02-06T00:00:16+00:00,0.9805
1770422419,2026-02-07T00:00:19+00:00,0.99
1770508817,2026-02-08T00:00:17+00:00,0.9875
1770595216,2026-02-09T00:00:16+00:00,0.988
1770681617,2026-02-10T00:00:17+00:00,0.9935
1770768016,2026-02-11T00:00:16+00:00,0.997
1770854429,2026-02-12T00:00:29+00:00,0.995
1770940818,2026-02-13T00:00:18+00:00,0.981
