timestamp_unix,datetime_utc,increase_2_8_january_2026_no
1766188814,2025-12-20T00:00:14+00:00,0.505
1766275215,2025-12-21T00:00:15+00:00,0.19
1766361614,2025-12-22T00:00:14+00:00,0.175
1766448017,2025-12-23T00:00:17+00:00,0.25
1766534416,2025-12-24T00:00:16+00:00,0.275
1766620826,2025-12-25T00:00:26+00:00,0.265
1766707212,2025-12-26T00:00:12+00:00,0.26
1766793616,2025-12-27T00:00:16+00:00,0.225
1766880016,2025-12-28T00:00:16+00:00,0.19
1766966432,2025-12-29T00:00:32+00:00,0.175
1767052819,2025-12-30T00:00:19+00:00,0.16
1767139216,2025-12-31T00:00:16+00:00,0.155
1767225616,2026-01-01T00:00:16+00:00,0.155
1767312016,2026-01-02T00:00:16+00:00,0.135
1767398414,2026-01-03T00:00:14+00:00,0.135
1767484816,2026-01-04T00:00:16+00:00,0.14
1767571218,2026-01-05T00:00:18+00:00,0.115
1767657620,2026-01-06T00:00:20+00:00,0.125
1767744018,2026-01-07T00:00:18+00:00,0.1
1767830433,2026-01-08T00:00:33+00:00,0.1
1767916818,2026-01-09T00:00:18+00:00,0.1
1768003219,2026-01-10T00:00:19+00:00,0.1
1768089617,2026-01-11T00:00:17+00:00,0.1
1768176019,2026-01-12T00:00:19+00:00,0.1
1768262420,2026-01-13T00:00:20+00:00,0.1
1768348819,2026-01-14T00:00:19+00:00,0.04
1768435221,2026-01-15T00:00:21+00:00,0.0485
1768521624,2026-01-16T00:00:24+00:00,0.0395
1768608021,2026-01-17T00:00:21+00:00,0.0385
1768694431,2026-01-18T00:00:31+00:00,0.04
1768780818,2026-01-19T00:00:18+00:00,0.0425
1768867220,2026-01-20T00:00:20+00:00,0.0445
1768953621,2026-01-21T00:00:21+00:00,0.0425
1769040029,2026-01-22T00:00:29+00:00,0.042
1769126437,2026-01-23T00:00:37+00:00,0.0445
1769212832,2026-01-24T00:00:32+00:00,0.0405
1769299240,2026-01-25T00:00:40+00:00,0.0375
1769385639,2026-01-26T00:00:39+00:00,0.048
1769472034,2026-01-27T00:00:34+00:00,0.0465
1769558423,2026-01-28T00:00:23+00:00,0.0735
1769644838,2026-01-29T00:00:38+00:00,0.0715
1769731227,2026-01-30T00:00:27+00:00,0.074
1769817627,2026-01-31T00:00:27+00:00,0.054
1769904032,2026-02-01T00:00:32+00:00,0.0585
1769990426,2026-02-02T00:00:26+00:00,0.0355
1770076828,2026-02-03T00:00:28+00:00,0.0395
1770163239,2026-02-04T00:00:39+00:00,0.038
1770249624,2026-02-05T00:00:24+00:00,0.037
1770336031,2026-02-06T00:00:31+00:00,0.0385
1770422437,2026-02-07T00:00:37+00:00,0.023
1770508833,2026-02-08T00:00:33+00:00,0.0355
1770595232,2026-02-09T00:00:32+00:00,0.0355
1770681635,2026-02-10T00:00:35+00:00,0.0225
1770768037,2026-02-11T00:00:37+00:00,0.0155
1770854446,2026-02-12T00:00:46+00:00,0.0495
1770940834,2026-02-13T00:00:34+00:00,0.054
