timestamp_unix,datetime_utc,increase_3_1_january_2026_yes
1766188807,2025-12-20T00:00:07+00:00,0.495
1766275207,2025-12-21T00:00:07+00:00,0.07
1766361606,2025-12-22T00:00:06+00:00,0.075
1766448007,2025-12-23T00:00:07+00:00,0.07
1766534407,2025-12-24T00:00:07+00:00,0.021
1766620817,2025-12-25T00:00:17+00:00,0.042
1766707206,2025-12-26T00:00:06+00:00,0.0645
1766793608,2025-12-27T00:00:08+00:00,0.0635
1766880008,2025-12-28T00:00:08+00:00,0.064
1766966424,2025-12-29T00:00:24+00:00,0.0515
1767052811,2025-12-30T00:00:11+00:00,0.0505
1767139207,2025-12-31T00:00:07+00:00,0.0465
1767225608,2026-01-01T00:00:08+00:00,0.046
1767312008,2026-01-02T00:00:08+00:00,0.0105
1767398408,2026-01-03T00:00:08+00:00,0.031
1767484808,2026-01-04T00:00:08+00:00,0.0355
1767571208,2026-01-05T00:00:08+00:00,0.016
1767657611,2026-01-06T00:00:11+00:00,0.0285
1767744009,2026-01-07T00:00:09+00:00,0.0195
1767830424,2026-01-08T00:00:24+00:00,0.0165
1767916808,2026-01-09T00:00:08+00:00,0.0315
1768003209,2026-01-10T00:00:09+00:00,0.0325
1768089609,2026-01-11T00:00:09+00:00,0.0385
1768176011,2026-01-12T00:00:11+00:00,0.03
1768262410,2026-01-13T00:00:10+00:00,0.0195
1768348809,2026-01-14T00:00:09+00:00,0.007
1768435210,2026-01-15T00:00:10+00:00,0.007
1768521612,2026-01-16T00:00:12+00:00,0.0065
1768608010,2026-01-17T00:00:10+00:00,0.0065
1768694410,2026-01-18T00:00:10+00:00,0.0065
1768780809,2026-01-19T00:00:09+00:00,0.0085
1768867210,2026-01-20T00:00:10+00:00,0.008
1768953610,2026-01-21T00:00:10+00:00,0.007
1769040010,2026-01-22T00:00:10+00:00,0.0075
1769126424,2026-01-23T00:00:24+00:00,0.0075
1769212811,2026-01-24T00:00:11+00:00,0.0085
1769299226,2026-01-25T00:00:26+00:00,0.0085
1769385623,2026-01-26T00:00:23+00:00,0.009
1769472021,2026-01-27T00:00:21+00:00,0.008
1769558411,2026-01-28T00:00:11+00:00,0.0095
1769644826,2026-01-29T00:00:26+00:00,0.009
1769731212,2026-01-30T00:00:12+00:00,0.0085
1769817612,2026-01-31T00:00:12+00:00,0.009
1769904015,2026-02-01T00:00:15+00:00,0.009
1769990412,2026-02-02T00:00:12+00:00,0.0075
1770076811,2026-02-03T00:00:11+00:00,0.008
1770163223,2026-02-04T00:00:23+00:00,0.008
1770249611,2026-02-05T00:00:11+00:00,0.004
1770336012,2026-02-06T00:00:12+00:00,0.0055
1770422414,2026-02-07T00:00:14+00:00,0.003
1770508812,2026-02-08T00:00:12+00:00,0.003
1770595211,2026-02-09T00:00:11+00:00,0.003
1770681612,2026-02-10T00:00:12+00:00,0.003
1770768011,2026-02-11T00:00:11+00:00,0.003
1770854425,2026-02-12T00:00:25+00:00,0.003
1770940812,2026-02-13T00:00:12+00:00,0.003
