timestamp_unix,datetime_utc,increase_3_2_january_2026_yes
1766188813,2025-12-20T00:00:13+00:00,0.49
1766275213,2025-12-21T00:00:13+00:00,0.055
1766361612,2025-12-22T00:00:12+00:00,0.065
1766448014,2025-12-23T00:00:14+00:00,0.025
1766534414,2025-12-24T00:00:14+00:00,0.0295
1766620824,2025-12-25T00:00:24+00:00,0.03
1766707211,2025-12-26T00:00:11+00:00,0.0265
1766793614,2025-12-27T00:00:14+00:00,0.0295
1766880014,2025-12-28T00:00:14+00:00,0.0255
1766966431,2025-12-29T00:00:31+00:00,0.0255
1767052817,2025-12-30T00:00:17+00:00,0.0255
1767139214,2025-12-31T00:00:14+00:00,0.025
1767225614,2026-01-01T00:00:14+00:00,0.025
1767312014,2026-01-02T00:00:14+00:00,0.0105
1767398413,2026-01-03T00:00:13+00:00,0.0105
1767484814,2026-01-04T00:00:14+00:00,0.0105
1767571216,2026-01-05T00:00:16+00:00,0.0155
1767657618,2026-01-06T00:00:18+00:00,0.025
1767744016,2026-01-07T00:00:16+00:00,0.018
1767830431,2026-01-08T00:00:31+00:00,0.009
1767916816,2026-01-09T00:00:16+00:00,0.0075
1768003217,2026-01-10T00:00:17+00:00,0.007
1768089615,2026-01-11T00:00:15+00:00,0.0065
1768176017,2026-01-12T00:00:17+00:00,0.0075
1768262417,2026-01-13T00:00:17+00:00,0.0075
1768348817,2026-01-14T00:00:17+00:00,0.0065
1768435218,2026-01-15T00:00:18+00:00,0.0065
1768521621,2026-01-16T00:00:21+00:00,0.0065
1768608018,2026-01-17T00:00:18+00:00,0.003
1768694426,2026-01-18T00:00:26+00:00,0.008
1768780816,2026-01-19T00:00:16+00:00,0.008
1768867217,2026-01-20T00:00:17+00:00,0.008
1768953618,2026-01-21T00:00:18+00:00,0.007
1769040025,2026-01-22T00:00:25+00:00,0.0075
1769126435,2026-01-23T00:00:35+00:00,0.0075
1769212827,2026-01-24T00:00:27+00:00,0.0075
1769299237,2026-01-25T00:00:37+00:00,0.007
1769385635,2026-01-26T00:00:35+00:00,0.008
1769472030,2026-01-27T00:00:30+00:00,0.0075
1769558421,2026-01-28T00:00:21+00:00,0.0095
1769644835,2026-01-29T00:00:35+00:00,0.0095
1769731224,2026-01-30T00:00:24+00:00,0.0335
1769817623,2026-01-31T00:00:23+00:00,0.004
1769904028,2026-02-01T00:00:28+00:00,0.0045
1769990423,2026-02-02T00:00:23+00:00,0.0035
1770076824,2026-02-03T00:00:24+00:00,0.0035
1770163235,2026-02-04T00:00:35+00:00,0.0035
1770249622,2026-02-05T00:00:22+00:00,0.003
1770336027,2026-02-06T00:00:27+00:00,0.0035
1770422432,2026-02-07T00:00:32+00:00,0.0025
1770508829,2026-02-08T00:00:29+00:00,0.0025
1770595228,2026-02-09T00:00:28+00:00,0.0025
1770681629,2026-02-10T00:00:29+00:00,0.003
1770768031,2026-02-11T00:00:31+00:00,0.003
1770854442,2026-02-12T00:00:42+00:00,0.022
1770940830,2026-02-13T00:00:30+00:00,0.0065
