timestamp_unix,datetime_utc,increase_2_9_january_2026_yes
1766188817,2025-12-20T00:00:17+00:00,0.485
1766275217,2025-12-21T00:00:17+00:00,0.1
1766361617,2025-12-22T00:00:17+00:00,0.095
1766448019,2025-12-23T00:00:19+00:00,0.155
1766534419,2025-12-24T00:00:19+00:00,0.23
1766620829,2025-12-25T00:00:29+00:00,0.235
1766707214,2025-12-26T00:00:14+00:00,0.165
1766793618,2025-12-27T00:00:18+00:00,0.14
1766880018,2025-12-28T00:00:18+00:00,0.125
1766966435,2025-12-29T00:00:35+00:00,0.125
1767052822,2025-12-30T00:00:22+00:00,0.12
1767139219,2025-12-31T00:00:19+00:00,0.105
1767225619,2026-01-01T00:00:19+00:00,0.105
1767312018,2026-01-02T00:00:18+00:00,0.1
1767398417,2026-01-03T00:00:17+00:00,0.1
1767484818,2026-01-04T00:00:18+00:00,0.085
1767571221,2026-01-05T00:00:21+00:00,0.085
1767657623,2026-01-06T00:00:23+00:00,0.09
1767744021,2026-01-07T00:00:21+00:00,0.08
1767830436,2026-01-08T00:00:36+00:00,0.08
1767916821,2026-01-09T00:00:21+00:00,0.065
1768003222,2026-01-10T00:00:22+00:00,0.06
1768089619,2026-01-11T00:00:19+00:00,0.065
1768176021,2026-01-12T00:00:21+00:00,0.07
1768262422,2026-01-13T00:00:22+00:00,0.07
1768348823,2026-01-14T00:00:23+00:00,0.0275
1768435225,2026-01-15T00:00:25+00:00,0.025
1768521628,2026-01-16T00:00:28+00:00,0.023
1768608024,2026-01-17T00:00:24+00:00,0.019
1768694438,2026-01-18T00:00:38+00:00,0.018
1768780821,2026-01-19T00:00:21+00:00,0.019
1768867223,2026-01-20T00:00:23+00:00,0.0195
1768953624,2026-01-21T00:00:24+00:00,0.017
1769040034,2026-01-22T00:00:34+00:00,0.02
1769126441,2026-01-23T00:00:41+00:00,0.0175
1769212838,2026-01-24T00:00:38+00:00,0.0175
1769299244,2026-01-25T00:00:44+00:00,0.0175
1769385643,2026-01-26T00:00:43+00:00,0.018
1769472037,2026-01-27T00:00:37+00:00,0.0175
1769558426,2026-01-28T00:00:26+00:00,0.022
1769644841,2026-01-29T00:00:41+00:00,0.0215
1769731230,2026-01-30T00:00:30+00:00,0.021
1769817630,2026-01-31T00:00:30+00:00,0.0225
1769904037,2026-02-01T00:00:37+00:00,0.017
1769990429,2026-02-02T00:00:29+00:00,0.0175
1770076833,2026-02-03T00:00:33+00:00,0.017
1770163242,2026-02-04T00:00:42+00:00,0.017
1770249628,2026-02-05T00:00:28+00:00,0.025
1770336036,2026-02-06T00:00:36+00:00,0.022
1770422443,2026-02-07T00:00:43+00:00,0.014
1770508839,2026-02-08T00:00:39+00:00,0.0135
1770595238,2026-02-09T00:00:38+00:00,0.013
1770681641,2026-02-10T00:00:41+00:00,0.016
1770768045,2026-02-11T00:00:45+00:00,0.012
1770854451,2026-02-12T00:00:51+00:00,0.018
1770940841,2026-02-13T00:00:41+00:00,0.038
