timestamp_unix,datetime_utc,increase_2_9_january_2026_no
1766188816,2025-12-20T00:00:16+00:00,0.515
1766275217,2025-12-21T00:00:17+00:00,0.9
1766361617,2025-12-22T00:00:17+00:00,0.905
1766448019,2025-12-23T00:00:19+00:00,0.845
1766534418,2025-12-24T00:00:18+00:00,0.77
1766620828,2025-12-25T00:00:28+00:00,0.765
1766707213,2025-12-26T00:00:13+00:00,0.835
1766793617,2025-12-27T00:00:17+00:00,0.86
1766880018,2025-12-28T00:00:18+00:00,0.875
1766966435,2025-12-29T00:00:35+00:00,0.875
1767052821,2025-12-30T00:00:21+00:00,0.88
1767139219,2025-12-31T00:00:19+00:00,0.895
1767225619,2026-01-01T00:00:19+00:00,0.895
1767312017,2026-01-02T00:00:17+00:00,0.9
1767398416,2026-01-03T00:00:16+00:00,0.9
1767484818,2026-01-04T00:00:18+00:00,0.915
1767571221,2026-01-05T00:00:21+00:00,0.915
1767657622,2026-01-06T00:00:22+00:00,0.91
1767744020,2026-01-07T00:00:20+00:00,0.92
1767830435,2026-01-08T00:00:35+00:00,0.92
1767916820,2026-01-09T00:00:20+00:00,0.935
1768003221,2026-01-10T00:00:21+00:00,0.94
1768089618,2026-01-11T00:00:18+00:00,0.935
1768176021,2026-01-12T00:00:21+00:00,0.93
1768262421,2026-01-13T00:00:21+00:00,0.93
1768348822,2026-01-14T00:00:22+00:00,0.9725
1768435224,2026-01-15T00:00:24+00:00,0.975
1768521626,2026-01-16T00:00:26+00:00,0.977
1768608024,2026-01-17T00:00:24+00:00,0.981
1768694436,2026-01-18T00:00:36+00:00,0.982
1768780820,2026-01-19T00:00:20+00:00,0.981
1768867222,2026-01-20T00:00:22+00:00,0.9805
1768953623,2026-01-21T00:00:23+00:00,0.983
1769040033,2026-01-22T00:00:33+00:00,0.98
1769126440,2026-01-23T00:00:40+00:00,0.9825
1769212836,2026-01-24T00:00:36+00:00,0.9825
1769299243,2026-01-25T00:00:43+00:00,0.9825
1769385642,2026-01-26T00:00:42+00:00,0.982
1769472036,2026-01-27T00:00:36+00:00,0.9825
1769558425,2026-01-28T00:00:25+00:00,0.978
1769644840,2026-01-29T00:00:40+00:00,0.9785
1769731229,2026-01-30T00:00:29+00:00,0.979
1769817630,2026-01-31T00:00:30+00:00,0.9775
1769904035,2026-02-01T00:00:35+00:00,0.983
1769990429,2026-02-02T00:00:29+00:00,0.9825
1770076831,2026-02-03T00:00:31+00:00,0.983
1770163241,2026-02-04T00:00:41+00:00,0.983
1770249627,2026-02-05T00:00:27+00:00,0.975
1770336035,2026-02-06T00:00:35+00:00,0.978
1770422441,2026-02-07T00:00:41+00:00,0.986
1770508837,2026-02-08T00:00:37+00:00,0.9865
1770595236,2026-02-09T00:00:36+00:00,0.987
1770681640,2026-02-10T00:00:40+00:00,0.984
1770768042,2026-02-11T00:00:42+00:00,0.988
1770854449,2026-02-12T00:00:49+00:00,0.982
1770940839,2026-02-13T00:00:39+00:00,0.962
