timestamp_unix,datetime_utc,decreases_25_january_2026_yes
1768521623,2026-01-16T00:00:23+00:00,0.049
1768608020,2026-01-17T00:00:20+00:00,0.0435
1768694429,2026-01-18T00:00:29+00:00,0.0385
1768780817,2026-01-19T00:00:17+00:00,0.0375
1768867219,2026-01-20T00:00:19+00:00,0.0315
1768953620,2026-01-21T00:00:20+00:00,0.0245
1769040027,2026-01-22T00:00:27+00:00,0.0185
1769126436,2026-01-23T00:00:36+00:00,0.0165
1769212830,2026-01-24T00:00:30+00:00,0.0115
1769299239,2026-01-25T00:00:39+00:00,0.0065
1769385637,2026-01-26T00:00:37+00:00,0.0065
1769472032,2026-01-27T00:00:32+00:00,0.0075
1769558423,2026-01-28T00:00:23+00:00,0.0035
