timestamp_unix,datetime_utc,decreases_25_january_2026_no
1768521616,2026-01-16T00:00:16+00:00,0.951
1768608014,2026-01-17T00:00:14+00:00,0.9565
1768694417,2026-01-18T00:00:17+00:00,0.9615
1768780813,2026-01-19T00:00:13+00:00,0.9625
1768867214,2026-01-20T00:00:14+00:00,0.9685
1768953614,2026-01-21T00:00:14+00:00,0.9755
1769040018,2026-01-22T00:00:18+00:00,0.9815
1769126430,2026-01-23T00:00:30+00:00,0.9835
1769212819,2026-01-24T00:00:19+00:00,0.9885
1769299232,2026-01-25T00:00:32+00:00,0.9935
1769385630,2026-01-26T00:00:30+00:00,0.9935
1769472026,2026-01-27T00:00:26+00:00,0.9925
1769558417,2026-01-28T00:00:17+00:00,0.9965
