datetime_utc,decreases_25_january_2026_no,decreases_25_january_2026_yes,decreases_50_january_2026_no,decreases_50_january_2026_yes,increases_25_january_2026_no,increases_25_january_2026_yes,no_change_january_2026_no,no_change_january_2026_yes
2026-01-22,0.9815,,,,,,,
2026-01-22,,,,0.0015,,,,
2026-01-22,,,0.9985,,,,,
2026-01-22,,0.0185,,,,,,
2026-01-22,,,,,0.9995,,,
2026-01-22,,,,,,,,0.9795
2026-01-23,,,,,,0.0005,,
2026-01-23,,,,,,,0.0195,
2026-01-23,0.9835,,,,,,,
2026-01-23,,,0.9985,0.0015,,,,
2026-01-23,,0.0165,,,,,,
2026-01-23,,,,,0.9995,,,
2026-01-23,,,,,,,,0.9805
2026-01-24,,,,,,0.0005,,
2026-01-24,0.9885,,,,,,0.0135,
2026-01-24,,,,0.0005,,,,
2026-01-24,,,0.9995,,,,,
2026-01-24,,0.0115,,,,,,
2026-01-24,,,,,0.9995,,,
2026-01-24,,,,,,,,0.9865
2026-01-25,,,,,,0.0005,,
2026-01-25,,,,,,,0.0095,
2026-01-25,0.9935,,,,,,,
2026-01-25,,,0.9995,0.0005,,,,
2026-01-25,,0.0065,,,,,,
2026-01-25,,,,,0.9995,,,
2026-01-25,,,,,,,,0.9905
2026-01-26,,,,,,0.0005,,
2026-01-26,0.9935,,,,,,0.0095,
2026-01-26,,,0.9995,0.0005,,,,
2026-01-26,,0.0065,,,,,,
2026-01-26,,,,,0.9995,,,
2026-01-26,,,,,,,,0.9905
2026-01-27,,,,,,0.0015,,
2026-01-27,0.9925,,,,,,0.012,
2026-01-27,,,0.9995,0.0005,,,,
2026-01-27,,0.0075,,,,,,
2026-01-27,,,,,0.9985,,,
2026-01-27,,,,,,,,0.988
2026-01-28,,,,,,0.0015,,
2026-01-28,0.9965,,,,,,0.0075,
2026-01-28,,,0.9995,0.0005,,,,
2026-01-28,,0.0035,,,,,,
2026-01-28,,,,,0.9985,,,
2026-01-28,,,,,,,,0.9925
