timestamp_unix,datetime_utc,no_change_january_2026_yes
1767225620,2026-01-01T00:00:20+00:00,0.875
1767312019,2026-01-02T00:00:19+00:00,0.885
1767398417,2026-01-03T00:00:17+00:00,0.885
1767484819,2026-01-04T00:00:19+00:00,0.895
1767571222,2026-01-05T00:00:22+00:00,0.895
1767657623,2026-01-06T00:00:23+00:00,0.895
1767744021,2026-01-07T00:00:21+00:00,0.895
1767830437,2026-01-08T00:00:37+00:00,0.915
1767916822,2026-01-09T00:00:22+00:00,0.925
1768003222,2026-01-10T00:00:22+00:00,0.9705
1768089619,2026-01-11T00:00:19+00:00,0.957
1768176022,2026-01-12T00:00:22+00:00,0.9575
1768262422,2026-01-13T00:00:22+00:00,0.9315
1768348823,2026-01-14T00:00:23+00:00,0.9545
1768435225,2026-01-15T00:00:25+00:00,0.9415
1768521628,2026-01-16T00:00:28+00:00,0.9475
1768608025,2026-01-17T00:00:25+00:00,0.9525
1768694439,2026-01-18T00:00:39+00:00,0.9555
1768780821,2026-01-19T00:00:21+00:00,0.9565
1768867223,2026-01-20T00:00:23+00:00,0.9645
1768953624,2026-01-21T00:00:24+00:00,0.9715
1769040036,2026-01-22T00:00:36+00:00,0.9795
1769126442,2026-01-23T00:00:42+00:00,0.9805
1769212839,2026-01-24T00:00:39+00:00,0.9865
1769299245,2026-01-25T00:00:45+00:00,0.9905
1769385644,2026-01-26T00:00:44+00:00,0.9905
1769472037,2026-01-27T00:00:37+00:00,0.988
1769558427,2026-01-28T00:00:27+00:00,0.9925
