timestamp_unix,datetime_utc,increases_25_january_2026_no
1768262422,2026-01-13T00:00:22+00:00,0.9995
1768348823,2026-01-14T00:00:23+00:00,0.9995
1768435225,2026-01-15T00:00:25+00:00,0.9995
1768521627,2026-01-16T00:00:27+00:00,0.9985
1768608024,2026-01-17T00:00:24+00:00,0.9985
1768694436,2026-01-18T00:00:36+00:00,0.9985
1768780820,2026-01-19T00:00:20+00:00,0.9985
1768867222,2026-01-20T00:00:22+00:00,0.9995
1768953623,2026-01-21T00:00:23+00:00,0.9995
1769040034,2026-01-22T00:00:34+00:00,0.9995
1769126440,2026-01-23T00:00:40+00:00,0.9995
1769212836,2026-01-24T00:00:36+00:00,0.9995
1769299243,2026-01-25T00:00:43+00:00,0.9995
1769385643,2026-01-26T00:00:43+00:00,0.9995
1769472036,2026-01-27T00:00:36+00:00,0.9985
1769558426,2026-01-28T00:00:26+00:00,0.9985
