timestamp_unix,datetime_utc,decreases_25_october_2025_no
1760918408,2025-10-20T00:00:08+00:00,0.055
1761004817,2025-10-21T00:00:17+00:00,0.045
1761091222,2025-10-22T00:00:22+00:00,0.04
1761177611,2025-10-23T00:00:11+00:00,0.0395
1761264018,2025-10-24T00:00:18+00:00,0.038
1761350417,2025-10-25T00:00:17+00:00,0.0235
1761436820,2025-10-26T00:00:20+00:00,0.0175
1761523217,2025-10-27T00:00:17+00:00,0.0165
1761609622,2025-10-28T00:00:22+00:00,0.0155
1761696020,2025-10-29T00:00:20+00:00,0.0205
