timestamp_unix,datetime_utc,decreases_50_october_2025_yes
1760659210,2025-10-17T00:00:10+00:00,0.038
1760745610,2025-10-18T00:00:10+00:00,0.0295
1760832021,2025-10-19T00:00:21+00:00,0.027
1760918410,2025-10-20T00:00:10+00:00,0.0255
1761004819,2025-10-21T00:00:19+00:00,0.019
1761091210,2025-10-22T00:00:10+00:00,0.017
1761177607,2025-10-23T00:00:07+00:00,0.0145
1761264009,2025-10-24T00:00:09+00:00,0.015
1761350409,2025-10-25T00:00:09+00:00,0.0095
1761436809,2025-10-26T00:00:09+00:00,0.0065
1761523209,2025-10-27T00:00:09+00:00,0.0065
1761609611,2025-10-28T00:00:11+00:00,0.0045
1761696010,2025-10-29T00:00:10+00:00,0.009
