timestamp_unix,datetime_utc,no_change_june_2025_yes
1742342405,2025-03-19T00:00:05+00:00,0.395
1742428805,2025-03-20T00:00:05+00:00,0.455
1742515205,2025-03-21T00:00:05+00:00,0.365
1742601606,2025-03-22T00:00:06+00:00,0.345
1742688006,2025-03-23T00:00:06+00:00,0.345
1742774405,2025-03-24T00:00:05+00:00,0.345
1742860806,2025-03-25T00:00:06+00:00,0.405
1742947205,2025-03-26T00:00:05+00:00,0.425
1743033606,2025-03-27T00:00:06+00:00,0.415
1743120006,2025-03-28T00:00:06+00:00,0.415
1743206406,2025-03-29T00:00:06+00:00,0.39
1743292806,2025-03-30T00:00:06+00:00,0.395
1743379205,2025-03-31T00:00:05+00:00,0.395
1743465605,2025-04-01T00:00:05+00:00,0.43
1743552006,2025-04-02T00:00:06+00:00,0.425
1743638405,2025-04-03T00:00:05+00:00,0.43
1743724805,2025-04-04T00:00:05+00:00,0.39
1743811205,2025-04-05T00:00:05+00:00,0.33
1743897605,2025-04-06T00:00:05+00:00,0.375
1743984006,2025-04-07T00:00:06+00:00,0.33
1744070406,2025-04-08T00:00:06+00:00,0.34
1744156806,2025-04-09T00:00:06+00:00,0.34
1744243205,2025-04-10T00:00:05+00:00,0.425
1744329605,2025-04-11T00:00:05+00:00,0.36
1744416006,2025-04-12T00:00:06+00:00,0.37
1744502405,2025-04-13T00:00:05+00:00,0.405
1744588805,2025-04-14T00:00:05+00:00,0.4
1744675205,2025-04-15T00:00:05+00:00,0.405
1744761605,2025-04-16T00:00:05+00:00,0.415
1744848006,2025-04-17T00:00:06+00:00,0.435
1744934404,2025-04-18T00:00:04+00:00,0.45
1745020806,2025-04-19T00:00:06+00:00,0.48
1745107206,2025-04-20T00:00:06+00:00,0.48
1745193606,2025-04-21T00:00:06+00:00,0.47
1745280006,2025-04-22T00:00:06+00:00,0.455
1745366407,2025-04-23T00:00:07+00:00,0.46
1745452806,2025-04-24T00:00:06+00:00,0.475
1745539206,2025-04-25T00:00:06+00:00,0.45
1745625606,2025-04-26T00:00:06+00:00,0.51
1745712005,2025-04-27T00:00:05+00:00,0.52
1745798405,2025-04-28T00:00:05+00:00,0.505
1745884805,2025-04-29T00:00:05+00:00,0.515
1745971206,2025-04-30T00:00:06+00:00,0.515
1746057606,2025-05-01T00:00:06+00:00,0.515
1746144006,2025-05-02T00:00:06+00:00,0.49
1746230406,2025-05-03T00:00:06+00:00,0.67
1746316805,2025-05-04T00:00:05+00:00,0.69
1746403205,2025-05-05T00:00:05+00:00,0.71
1746489606,2025-05-06T00:00:06+00:00,0.735
1746576005,2025-05-07T00:00:05+00:00,0.73
1746662406,2025-05-08T00:00:06+00:00,0.825
1746748807,2025-05-09T00:00:07+00:00,0.835
1746835206,2025-05-10T00:00:06+00:00,0.855
1746921606,2025-05-11T00:00:06+00:00,0.855
1747008006,2025-05-12T00:00:06+00:00,0.855
1747094406,2025-05-13T00:00:06+00:00,0.895
1747180807,2025-05-14T00:00:07+00:00,0.875
1747267207,2025-05-15T00:00:07+00:00,0.885
1747353606,2025-05-16T00:00:06+00:00,0.875
1747440007,2025-05-17T00:00:07+00:00,0.875
1747526406,2025-05-18T00:00:06+00:00,0.875
1747612806,2025-05-19T00:00:06+00:00,0.895
1747699206,2025-05-20T00:00:06+00:00,0.885
1747785606,2025-05-21T00:00:06+00:00,0.905
1747872007,2025-05-22T00:00:07+00:00,0.915
1747958407,2025-05-23T00:00:07+00:00,0.915
1748044807,2025-05-24T00:00:07+00:00,0.925
1748131206,2025-05-25T00:00:06+00:00,0.915
1748217607,2025-05-26T00:00:07+00:00,0.925
1748304006,2025-05-27T00:00:06+00:00,0.935
1748390406,2025-05-28T00:00:06+00:00,0.94
1748476807,2025-05-29T00:00:07+00:00,0.955
1748563207,2025-05-30T00:00:07+00:00,0.955
1748649607,2025-05-31T00:00:07+00:00,0.955
1748736007,2025-06-01T00:00:07+00:00,0.955
1748822406,2025-06-02T00:00:06+00:00,0.959
1748908807,2025-06-03T00:00:07+00:00,0.9575
1748995206,2025-06-04T00:00:06+00:00,0.971
1749081606,2025-06-05T00:00:06+00:00,0.9635
1749168006,2025-06-06T00:00:06+00:00,0.966
1749254407,2025-06-07T00:00:07+00:00,0.98
1749340807,2025-06-08T00:00:07+00:00,0.9805
1749427207,2025-06-09T00:00:07+00:00,0.9765
1749513606,2025-06-10T00:00:06+00:00,0.971
1749600007,2025-06-11T00:00:07+00:00,0.9755
1749686407,2025-06-12T00:00:07+00:00,0.9745
1749772807,2025-06-13T00:00:07+00:00,0.9715
1749859208,2025-06-14T00:00:08+00:00,0.9695
1749945608,2025-06-15T00:00:08+00:00,0.973
1750032007,2025-06-16T00:00:07+00:00,0.9755
1750118408,2025-06-17T00:00:08+00:00,0.9775
1750204808,2025-06-18T00:00:08+00:00,0.9835
