timestamp_unix,datetime_utc,decreases_50_june_2025_no
1747958407,2025-05-23T00:00:07+00:00,0.9895
1748044807,2025-05-24T00:00:07+00:00,0.9895
1748131206,2025-05-25T00:00:06+00:00,0.9895
1748217607,2025-05-26T00:00:07+00:00,0.9905
1748304006,2025-05-27T00:00:06+00:00,0.991
1748390406,2025-05-28T00:00:06+00:00,0.9925
1748476807,2025-05-29T00:00:07+00:00,0.9935
1748563207,2025-05-30T00:00:07+00:00,0.9945
1748649607,2025-05-31T00:00:07+00:00,0.9945
1748736007,2025-06-01T00:00:07+00:00,0.9945
1748822406,2025-06-02T00:00:06+00:00,0.9955
1748908807,2025-06-03T00:00:07+00:00,0.9955
1748995206,2025-06-04T00:00:06+00:00,0.9955
1749081606,2025-06-05T00:00:06+00:00,0.9955
1749168006,2025-06-06T00:00:06+00:00,0.9955
1749254407,2025-06-07T00:00:07+00:00,0.9955
1749340807,2025-06-08T00:00:07+00:00,0.9955
1749427207,2025-06-09T00:00:07+00:00,0.9965
1749513606,2025-06-10T00:00:06+00:00,0.9965
1749600007,2025-06-11T00:00:07+00:00,0.9965
1749686407,2025-06-12T00:00:07+00:00,0.9965
1749772807,2025-06-13T00:00:07+00:00,0.9965
1749859208,2025-06-14T00:00:08+00:00,0.995
1749945608,2025-06-15T00:00:08+00:00,0.9945
1750032007,2025-06-16T00:00:07+00:00,0.9955
1750118408,2025-06-17T00:00:08+00:00,0.9965
1750204808,2025-06-18T00:00:08+00:00,0.997
