timestamp_unix,datetime_utc,increases_25_june_2025_no
1749168006,2025-06-06T00:00:06+00:00,0.9985
1749254407,2025-06-07T00:00:07+00:00,0.9985
1749340807,2025-06-08T00:00:07+00:00,0.9985
1749427207,2025-06-09T00:00:07+00:00,0.9985
1749513606,2025-06-10T00:00:06+00:00,0.9985
1749600007,2025-06-11T00:00:07+00:00,0.9985
1749686407,2025-06-12T00:00:07+00:00,0.9985
1749772807,2025-06-13T00:00:07+00:00,0.9985
1749859208,2025-06-14T00:00:08+00:00,0.9995
1749945608,2025-06-15T00:00:08+00:00,0.9995
1750032007,2025-06-16T00:00:07+00:00,0.9995
1750118408,2025-06-17T00:00:08+00:00,0.9995
1750204808,2025-06-18T00:00:08+00:00,0.9995
