timestamp_unix,datetime_utc,increase_2_4_june_2025_yes
1749686407,2025-06-12T00:00:07+00:00,0.18
1749772807,2025-06-13T00:00:07+00:00,0.0165
1749859208,2025-06-14T00:00:08+00:00,0.012
1749945608,2025-06-15T00:00:08+00:00,0.019
1750032007,2025-06-16T00:00:07+00:00,0.017
1750118408,2025-06-17T00:00:08+00:00,0.021
1750204808,2025-06-18T00:00:08+00:00,0.0255
1750291207,2025-06-19T00:00:07+00:00,0.021
1750377608,2025-06-20T00:00:08+00:00,0.017
1750464008,2025-06-21T00:00:08+00:00,0.026
1750550406,2025-06-22T00:00:06+00:00,0.0415
1750636807,2025-06-23T00:00:07+00:00,0.04
1750723207,2025-06-24T00:00:07+00:00,0.0665
1750809607,2025-06-25T00:00:07+00:00,0.0235
1750896008,2025-06-26T00:00:08+00:00,0.028
1750982407,2025-06-27T00:00:07+00:00,0.0205
1751068807,2025-06-28T00:00:07+00:00,0.032
1751155208,2025-06-29T00:00:08+00:00,0.0625
1751241607,2025-06-30T00:00:07+00:00,0.049
1751328008,2025-07-01T00:00:08+00:00,0.07
1751414407,2025-07-02T00:00:07+00:00,0.0265
1751500808,2025-07-03T00:00:08+00:00,0.023
1751587208,2025-07-04T00:00:08+00:00,0.039
1751673608,2025-07-05T00:00:08+00:00,0.0505
1751760007,2025-07-06T00:00:07+00:00,0.0565
1751846407,2025-07-07T00:00:07+00:00,0.0545
1751932808,2025-07-08T00:00:08+00:00,0.051
1752019207,2025-07-09T00:00:07+00:00,0.0535
1752105608,2025-07-10T00:00:08+00:00,0.0495
1752192008,2025-07-11T00:00:08+00:00,0.0455
1752278409,2025-07-12T00:00:09+00:00,0.0355
1752364808,2025-07-13T00:00:08+00:00,0.0565
1752451207,2025-07-14T00:00:07+00:00,0.035
1752537608,2025-07-15T00:00:08+00:00,0.035
