Date,Actual,Forecast
2025-12-31,14.94999981,14.976176
2026-01-02,14.51000023,15.487091
2026-01-05,14.89999962,13.906771
2026-01-06,14.75,14.94697
2026-01-07,15.38000011,14.965231
2026-01-08,15.44999981,15.649684
2026-01-09,14.48999977,15.540323
2026-01-12,15.11999989,16.28534
2026-01-13,15.97999954,15.133588
2026-01-14,16.75,15.502721
2026-01-15,15.84000015,16.75929
2026-01-16,15.85999966,15.280305
2026-01-20,20.09000015,16.029072
2026-01-21,16.89999962,19.088894
2026-01-22,15.64000034,17.143839
2026-01-23,16.09000015,16.255505
2026-01-26,16.14999962,16.553368
2026-01-27,16.35000038,16.773294
2026-01-28,16.35000038,16.441957
2026-01-29,16.87999916,16.973333
2026-01-30,17.44000053,16.783918
2026-02-02,16.34000015,17.67119
2026-02-03,18.0,16.70357
2026-02-04,18.63999939,17.171825
2026-02-05,21.77000046,17.640491
2026-02-06,20.37000084,21.524744
2026-02-09,17.36000061,20.17907
2026-02-10,17.79000092,18.333916
2026-02-11,17.64999962,19.4955
2026-02-12,20.81999969,17.331377
2026-02-13,20.60000038,19.900179
2026-02-17,20.29000092,20.585121
2026-02-18,19.62000084,19.385849
2026-02-19,20.22999954,18.343275
2026-02-20,19.09000015,20.413872
2026-02-23,21.01000023,17.536118
2026-02-24,19.54999924,20.328417
2026-02-25,17.93000031,19.3397
2026-02-26,18.62999916,17.575636
2026-02-27,19.86000061,18.204319
2026-03-02,21.44000053,20.03228
2026-03-03,23.56999969,20.207767
2026-03-04,21.14999962,20.681316
2026-03-05,23.75,20.293417
2026-03-06,29.48999977,20.33581
2026-03-09,25.5,24.941574
2026-03-10,24.93000031,28.801306
2026-03-11,24.22999954,24.101032
2026-03-12,27.29000092,26.59639
2026-03-16,23.51000023,25.066988
2026-03-17,22.37000084,22.76743
2026-03-18,25.09000015,22.297983
2026-03-19,24.05999947,24.44042
2026-03-20,26.78000069,23.617403
2026-03-23,26.14999962,23.775091
2026-03-24,26.95000076,22.41474
2026-03-25,25.32999992,26.492676
2026-03-26,27.44000053,26.447683
2026-03-27,31.04999924,26.317556
2026-04-09,19.48999977,26.410439
2026-04-22,18.92000008,22.460785
2026-04-23,19.30999947,18.639809
2026-04-24,18.70999908,20.703299
2026-04-27,18.02000046,18.846264
2026-04-28,17.82999992,19.22904
2026-04-29,18.80999947,18.938835
2026-04-30,16.88999939,18.963402
2026-05-01,16.98999977,17.897547
2026-05-04,18.29000092,18.141146
2026-05-05,17.37999916,18.367308
2026-05-06,17.38999939,17.575249
2026-05-07,17.07999992,17.56778
2026-05-08,17.19000053,17.63663
2026-05-11,18.37999916,16.940863
2026-05-12,17.98999977,18.813585
2026-05-13,17.87000084,18.875463
2026-05-14,17.26000023,17.47776
2026-05-15,18.43000031,17.493008
2026-05-18,17.81999969,19.605122
2026-05-19,18.05999947,18.713558
2026-05-20,17.44000053,17.893282
2026-05-21,16.76000023,17.389763
2026-05-22,16.70000076,17.91587
2026-05-26,17.01000023,18.08371
2026-05-27,16.29000092,17.124117
2026-05-28,15.73999977,17.354282
2026-05-29,15.31999969,16.825956
2026-06-01,16.04999924,16.118757
2026-06-02,15.77000046,16.712156
2026-06-03,16.05999947,17.214104
2026-06-04,15.39999962,17.013094
2026-06-05,21.51000023,16.099354
2026-06-08,18.92000008,17.576706
2026-06-09,19.87000084,18.670746
2026-06-10,22.21999931,18.556786
2026-06-11,19.44000053,21.2104
2026-06-12,17.68000031,22.447712
2026-06-15,16.20000076,18.226767
2026-06-16,16.40999985,17.14518
2026-06-17,18.44000053,17.519514
