Date,Actual,Forecast
2026-01-12,15.11999989,20.816772
2026-01-13,15.97999954,18.064108
2026-01-14,16.75,17.555822
2026-01-15,15.84000015,18.93783
2026-01-16,15.85999966,17.26577
2026-01-20,20.09000015,17.09769
2026-01-21,16.89999962,17.299475
2026-01-22,15.64000034,17.40469
2026-01-23,16.09000015,17.094894
2026-01-26,16.14999962,17.06793
2026-01-27,16.35000038,17.068546
2026-01-28,16.35000038,17.059557
2026-01-29,16.87999916,17.048355
2026-01-30,17.44000053,17.034416
2026-02-02,16.34000015,17.0275
2026-02-03,18.0,17.16369
2026-02-04,18.63999939,18.145643
2026-02-05,21.77000046,18.353369
2026-02-06,20.37000084,18.340284
2026-02-09,17.36000061,18.31894
2026-02-10,17.79000092,18.49653
2026-02-11,17.64999962,18.358377
2026-02-12,20.81999969,18.579773
2026-02-13,20.60000038,18.549469
2026-02-17,20.29000092,19.671251
2026-02-18,19.62000084,19.649601
2026-02-19,20.22999954,19.73334
2026-02-20,19.09000015,19.716705
2026-02-23,21.01000023,19.718954
2026-02-24,19.54999924,19.75575
2026-02-25,17.93000031,19.815989
2026-02-26,18.62999916,18.392
2026-02-27,19.86000061,18.343569
2026-03-02,21.44000053,18.300455
2026-03-03,23.56999969,18.541166
2026-03-04,21.14999962,18.727219
2026-03-05,23.75,18.79279
2026-03-06,29.48999977,18.479275
2026-03-09,25.5,18.18537
2026-03-10,24.93000031,18.461931
2026-03-11,24.22999954,18.44174
2026-03-12,27.29000092,18.409367
2026-03-16,23.51000023,18.344275
2026-03-17,22.37000084,18.305422
2026-03-18,25.09000015,18.3227
2026-03-19,24.05999947,17.505453
2026-03-20,26.78000069,17.409266
2026-03-23,26.14999962,17.951616
2026-03-24,26.95000076,18.052343
2026-03-25,25.32999992,17.351522
2026-03-26,27.44000053,17.308409
2026-03-27,31.04999924,17.319876
2026-04-09,19.48999977,17.299284
2026-04-22,18.92000008,17.389622
2026-04-23,19.30999947,17.173811
2026-04-24,18.70999908,17.110472
2026-04-27,18.02000046,17.123785
2026-04-28,17.82999992,17.216278
2026-04-29,18.80999947,17.673738
2026-04-30,16.88999939,17.675404
2026-05-01,16.98999977,17.735111
2026-05-04,18.29000092,17.870869
2026-05-05,17.37999916,18.02868
2026-05-06,17.38999939,17.805079
2026-05-07,17.07999992,17.787355
2026-05-08,17.19000053,18.611496
2026-05-11,18.37999916,18.98167
2026-05-12,17.98999977,19.719635
2026-05-13,17.87000084,19.811956
2026-05-14,17.26000023,20.379847
2026-05-15,18.43000031,20.54635
2026-05-18,17.81999969,20.281893
2026-05-19,18.05999947,20.43323
2026-05-20,17.44000053,20.807486
2026-05-21,16.76000023,20.05826
2026-05-22,16.70000076,20.486712
2026-05-26,17.01000023,20.470135
2026-05-27,16.29000092,20.453733
2026-05-28,15.73999977,20.435682
2026-05-29,15.31999969,20.429647
2026-06-01,16.04999924,20.427385
2026-06-02,15.77000046,20.423107
2026-06-03,16.05999947,20.510336
2026-06-04,15.39999962,20.535406
2026-06-05,21.51000023,20.539612
2026-06-08,18.92000008,20.539799
2026-06-09,19.87000084,20.43858
2026-06-10,22.21999931,20.370821
2026-06-11,19.44000053,20.362455
2026-06-12,17.68000031,20.353453
2026-06-15,16.20000076,20.361769
2026-06-16,16.40999985,20.362003
2026-06-17,18.44000053,20.378569
