Date,Actual,Forecast
2026-01-12,15.11999989,20.746698
2026-01-13,15.97999954,17.953146
2026-01-14,16.75,17.292004
2026-01-15,15.84000015,18.677336
2026-01-16,15.85999966,17.03514
2026-01-20,20.09000015,16.869104
2026-01-21,16.89999962,17.080988
2026-01-22,15.64000034,17.169388
2026-01-23,16.09000015,16.876595
2026-01-26,16.14999962,16.844263
2026-01-27,16.35000038,16.839928
2026-01-28,16.35000038,16.82778
2026-01-29,16.87999916,16.818954
2026-01-30,17.44000053,16.82595
2026-02-02,16.34000015,16.819677
2026-02-03,18.0,17.251736
2026-02-04,18.63999939,17.926683
2026-02-05,21.77000046,18.095732
2026-02-06,20.37000084,18.252083
2026-02-09,17.36000061,18.286335
2026-02-10,17.79000092,18.283415
2026-02-11,17.64999962,18.296955
2026-02-12,20.81999969,18.442978
2026-02-13,20.60000038,18.374626
2026-02-17,20.29000092,19.51583
2026-02-18,19.62000084,19.62278
2026-02-19,20.22999954,19.676897
2026-02-20,19.09000015,19.792355
2026-02-23,21.01000023,19.681637
2026-02-24,19.54999924,19.718851
2026-02-25,17.93000031,19.786777
2026-02-26,18.62999916,18.316729
2026-02-27,19.86000061,18.19445
2026-03-02,21.44000053,18.182203
2026-03-03,23.56999969,18.463493
2026-03-04,21.14999962,18.659307
2026-03-05,23.75,18.820824
2026-03-06,29.48999977,18.298664
2026-03-09,25.5,18.05283
2026-03-10,24.93000031,18.17364
2026-03-11,24.22999954,18.214684
2026-03-12,27.29000092,18.139511
2026-03-16,23.51000023,18.13658
2026-03-17,22.37000084,18.115543
2026-03-18,25.09000015,18.163183
2026-03-19,24.05999947,17.28114
2026-03-20,26.78000069,17.163223
2026-03-23,26.14999962,17.756748
2026-03-24,26.95000076,17.811161
2026-03-25,25.32999992,17.138184
2026-03-26,27.44000053,17.160448
2026-03-27,31.04999924,17.08754
2026-04-09,19.48999977,17.144732
2026-04-22,18.92000008,17.205675
2026-04-23,19.30999947,16.98593
2026-04-24,18.70999908,16.90912
2026-04-27,18.02000046,16.968204
2026-04-28,17.82999992,17.071608
2026-04-29,18.80999947,17.575687
2026-04-30,16.88999939,17.633657
2026-05-01,16.98999977,17.717031
2026-05-04,18.29000092,17.775772
2026-05-05,17.37999916,17.953304
2026-05-06,17.38999939,17.634657
2026-05-07,17.07999992,17.670193
2026-05-08,17.19000053,18.59473
2026-05-11,18.37999916,19.068468
2026-05-12,17.98999977,19.68772
2026-05-13,17.87000084,19.958057
2026-05-14,17.26000023,20.28289
2026-05-15,18.43000031,20.408981
2026-05-18,17.81999969,20.511696
2026-05-19,18.05999947,20.682316
2026-05-20,17.44000053,21.087257
2026-05-21,16.76000023,20.234156
2026-05-22,16.70000076,20.697178
2026-05-26,17.01000023,20.697435
2026-05-27,16.29000092,20.666773
2026-05-28,15.73999977,20.64458
2026-05-29,15.31999969,20.641064
2026-06-01,16.04999924,20.665075
2026-06-02,15.77000046,20.666063
2026-06-03,16.05999947,20.744963
2026-06-04,15.39999962,20.762196
2026-06-05,21.51000023,20.710768
2026-06-08,18.92000008,20.702042
2026-06-09,19.87000084,20.656157
2026-06-10,22.21999931,20.58917
2026-06-11,19.44000053,20.580915
2026-06-12,17.68000031,20.55691
2026-06-15,16.20000076,20.536983
2026-06-16,16.40999985,20.579708
2026-06-17,18.44000053,20.480467
