Date,Close,VIX_log
02/01/2014,14.22999954,2.65535238
03/01/2014,13.76000023,2.621765849
06/01/2014,13.55000019,2.606386561
07/01/2014,12.92000008,2.558776504
08/01/2014,12.86999989,2.554899013
09/01/2014,12.89000034,2.556451844
10/01/2014,12.14000034,2.496505814
13/01/2014,13.27999973,2.586259124
14/01/2014,12.27999973,2.507971901
15/01/2014,12.27999973,2.507971901
16/01/2014,12.52999973,2.528125748
17/01/2014,12.43999958,2.520917054
21/01/2014,12.86999989,2.554899013
22/01/2014,12.84000015,2.55256531
23/01/2014,13.77000046,2.622492346
24/01/2014,18.13999939,2.898119411
27/01/2014,17.42000008,2.857618976
28/01/2014,15.80000019,2.760009952
29/01/2014,17.35000038,2.853592528
30/01/2014,17.29000092,2.850128353
31/01/2014,18.40999985,2.912893987
03/02/2014,21.44000053,3.065258361
04/02/2014,19.11000061,2.95021179
05/02/2014,19.95000076,2.993229182
06/02/2014,17.22999954,2.846652024
07/02/2014,15.28999996,2.727199017
10/02/2014,15.26000023,2.725235041
11/02/2014,14.51000023,2.674838083
12/02/2014,14.30000019,2.660259551
13/02/2014,14.14000034,2.649007685
14/02/2014,13.56999969,2.607861451
18/02/2014,13.86999989,2.629728226
19/02/2014,15.5,2.740840024
20/02/2014,14.78999996,2.693951274
21/02/2014,14.68000031,2.686486044
24/02/2014,14.22999954,2.65535238
25/02/2014,13.67000008,2.615203656
26/02/2014,14.35000038,2.663749969
27/02/2014,14.03999996,2.641910396
28/02/2014,14,2.63905733
03/03/2014,16,2.772588722
04/03/2014,14.10000038,2.646174824
05/03/2014,13.89000034,2.631169181
06/03/2014,14.21000004,2.653945945
07/03/2014,14.10999966,2.646883742
10/03/2014,14.19999981,2.653241951
11/03/2014,14.80000019,2.694627194
12/03/2014,14.47000027,2.672077559
13/03/2014,16.21999931,2.786245006
14/03/2014,17.81999969,2.880321405
17/03/2014,15.64000034,2.749831757
18/03/2014,14.52000046,2.675527041
19/03/2014,15.11999989,2.716018363
20/03/2014,14.52000046,2.675527041
21/03/2014,15,2.708050201
24/03/2014,15.09000015,2.714032283
25/03/2014,14.02000046,2.640484914
26/03/2014,14.93000031,2.703372632
27/03/2014,14.61999989,2.682390446
28/03/2014,14.40999985,2.667922399
31/03/2014,13.88000011,2.630448963
01/04/2014,13.10000038,2.572612259
02/04/2014,13.09000015,2.571848592
03/04/2014,13.36999989,2.593013383
04/04/2014,13.96000004,2.6361961
07/04/2014,15.56999969,2.745345966
08/04/2014,14.89000034,2.70068987
09/04/2014,13.81999969,2.626116796
10/04/2014,15.89000034,2.765690002
11/04/2014,17.03000069,2.834976535
14/04/2014,16.11000061,2.779440235
15/04/2014,15.60999966,2.747911713
16/04/2014,14.18000031,2.651832543
17/04/2014,13.35999966,2.592265142
21/04/2014,13.25,2.583997552
22/04/2014,13.18999958,2.579458935
23/04/2014,13.27000046,2.585505883
24/04/2014,13.31999969,2.589266642
25/04/2014,14.06000042,2.643333916
28/04/2014,13.97000027,2.636912192
29/04/2014,13.71000004,2.618125496
30/04/2014,13.40999985,2.596000686
01/05/2014,13.25,2.583997552
02/05/2014,12.90999985,2.558002193
05/05/2014,13.28999996,2.58701187
06/05/2014,13.80000019,2.624668606
07/05/2014,13.39999962,2.595254678
08/05/2014,13.43000031,2.597491033
09/05/2014,12.92000008,2.558776504
12/05/2014,12.22999954,2.503891912
13/05/2014,12.13000011,2.495681732
14/05/2014,12.17000008,2.498973913
15/05/2014,13.17000008,2.577941522
16/05/2014,12.43999958,2.520917054
19/05/2014,12.42000008,2.519308083
20/05/2014,12.96000004,2.561867694
21/05/2014,11.90999985,2.477378371
22/05/2014,12.02999973,2.487403508
23/05/2014,11.35999966,2.430098383
27/05/2014,11.51000023,2.443216243
28/05/2014,11.68000031,2.457878004
29/05/2014,11.56999969,2.448415515
30/05/2014,11.39999962,2.433613322
02/06/2014,11.57999992,2.449279466
03/06/2014,11.86999989,2.474014199
04/06/2014,12.07999992,2.491551186
05/06/2014,11.68000031,2.457878004
06/06/2014,10.72999954,2.373043514
09/06/2014,11.14999962,2.411439464
10/06/2014,10.98999977,2.396985748
11/06/2014,11.60000038,2.451005131
12/06/2014,12.56000042,2.530517194
13/06/2014,12.18000031,2.499795287
16/06/2014,12.64999962,2.537657185
17/06/2014,12.06000042,2.489894226
18/06/2014,10.60999966,2.36179692
19/06/2014,10.61999989,2.362739005
20/06/2014,10.85000038,2.384165115
