timestamp_unix,datetime_utc,increase_2_4_may_2025_no
1747180807,2025-05-14T00:00:07+00:00,0.795
1747267207,2025-05-15T00:00:07+00:00,0.745
1747353606,2025-05-16T00:00:06+00:00,0.725
1747440007,2025-05-17T00:00:07+00:00,0.72
1747526406,2025-05-18T00:00:06+00:00,0.715
1747612806,2025-05-19T00:00:06+00:00,0.715
1747699206,2025-05-20T00:00:06+00:00,0.745
1747785606,2025-05-21T00:00:06+00:00,0.745
1747872007,2025-05-22T00:00:07+00:00,0.745
1747958407,2025-05-23T00:00:07+00:00,0.75
1748044807,2025-05-24T00:00:07+00:00,0.745
1748131206,2025-05-25T00:00:06+00:00,0.745
1748217607,2025-05-26T00:00:07+00:00,0.745
1748304006,2025-05-27T00:00:06+00:00,0.745
1748390406,2025-05-28T00:00:06+00:00,0.73
1748476807,2025-05-29T00:00:07+00:00,0.69
1748563207,2025-05-30T00:00:07+00:00,0.665
1748649607,2025-05-31T00:00:07+00:00,0.6
1748736007,2025-06-01T00:00:07+00:00,0.675
1748822406,2025-06-02T00:00:06+00:00,0.67
1748908807,2025-06-03T00:00:07+00:00,0.685
1748995206,2025-06-04T00:00:06+00:00,0.66
1749081606,2025-06-05T00:00:06+00:00,0.655
1749168006,2025-06-06T00:00:06+00:00,0.64
1749254407,2025-06-07T00:00:07+00:00,0.615
1749340807,2025-06-08T00:00:07+00:00,0.605
1749427207,2025-06-09T00:00:07+00:00,0.605
1749513606,2025-06-10T00:00:06+00:00,0.54
1749600007,2025-06-11T00:00:07+00:00,0.48
