timestamp_unix,datetime_utc,increase_2_1_march_2026_yes
1771027228,2026-02-14T00:00:28+00:00,0.405
1771113625,2026-02-15T00:00:25+00:00,0.25
1771200035,2026-02-16T00:00:35+00:00,0.21
1771286426,2026-02-17T00:00:26+00:00,0.09
1771372827,2026-02-18T00:00:27+00:00,0.09
1771459228,2026-02-19T00:00:28+00:00,0.09
1771545628,2026-02-20T00:00:28+00:00,0.04
1771632022,2026-02-21T00:00:22+00:00,0.0805
1771718422,2026-02-22T00:00:22+00:00,0.069
1771804824,2026-02-23T00:00:24+00:00,0.045
1771891224,2026-02-24T00:00:24+00:00,0.045
1771977626,2026-02-25T00:00:26+00:00,0.116
1772064025,2026-02-26T00:00:25+00:00,0.1755
1772150429,2026-02-27T00:00:29+00:00,0.0445
1772236831,2026-02-28T00:00:31+00:00,0.0455
1772323235,2026-03-01T00:00:35+00:00,0.0615
1772409642,2026-03-02T00:00:42+00:00,0.122
1772496031,2026-03-03T00:00:31+00:00,0.0635
1772582434,2026-03-04T00:00:34+00:00,0.0455
1772668831,2026-03-05T00:00:31+00:00,0.034
1772755230,2026-03-06T00:00:30+00:00,0.0225
1772841634,2026-03-07T00:00:34+00:00,0.0085
1772928029,2026-03-08T00:00:29+00:00,0.013
1773014424,2026-03-09T00:00:24+00:00,0.0085
1773100830,2026-03-10T00:00:30+00:00,0.0085
1773187232,2026-03-11T00:00:32+00:00,0.0125
1773273632,2026-03-12T00:00:32+00:00,0.0065
1773360048,2026-03-13T00:00:48+00:00,0.0055
1773446451,2026-03-14T00:00:51+00:00,0.005
1773532855,2026-03-15T00:00:55+00:00,0.0065
1773705642,2026-03-17T00:00:42+00:00,0.004
1773792043,2026-03-18T00:00:43+00:00,0.004
1773878458,2026-03-19T00:00:58+00:00,0.003
1773964848,2026-03-20T00:00:48+00:00,0.0035
1774051247,2026-03-21T00:00:47+00:00,0.0035
1774137644,2026-03-22T00:00:44+00:00,0.0025
1774224038,2026-03-23T00:00:38+00:00,0.003
1774310433,2026-03-24T00:00:33+00:00,0.0045
1774396845,2026-03-25T00:00:45+00:00,0.003
1774483249,2026-03-26T00:00:49+00:00,0.003
1774569654,2026-03-27T00:00:54+00:00,0.0025
1774656059,2026-03-28T00:00:59+00:00,0.002
1775347221,2026-04-05T00:00:21+00:00,0.0005
1775692839,2026-04-09T00:00:39+00:00,0.0005
