timestamp_unix,datetime_utc,increase_2_1_march_2026_no
1771027233,2026-02-14T00:00:33+00:00,0.595
1771113631,2026-02-15T00:00:31+00:00,0.75
1771200042,2026-02-16T00:00:42+00:00,0.79
1771286433,2026-02-17T00:00:33+00:00,0.91
1771372835,2026-02-18T00:00:35+00:00,0.91
1771459236,2026-02-19T00:00:36+00:00,0.91
1771545635,2026-02-20T00:00:35+00:00,0.96
1771632026,2026-02-21T00:00:26+00:00,0.9195
1771718426,2026-02-22T00:00:26+00:00,0.931
1771804829,2026-02-23T00:00:29+00:00,0.955
1771891228,2026-02-24T00:00:28+00:00,0.955
1771977632,2026-02-25T00:00:32+00:00,0.884
1772064030,2026-02-26T00:00:30+00:00,0.8245
1772150434,2026-02-27T00:00:34+00:00,0.9555
1772236836,2026-02-28T00:00:36+00:00,0.9545
1772323244,2026-03-01T00:00:44+00:00,0.9385
1772409646,2026-03-02T00:00:46+00:00,0.878
1772496037,2026-03-03T00:00:37+00:00,0.9365
1772582439,2026-03-04T00:00:39+00:00,0.9545
1772668836,2026-03-05T00:00:36+00:00,0.966
1772755235,2026-03-06T00:00:35+00:00,0.9775
1772841639,2026-03-07T00:00:39+00:00,0.9915
1772928033,2026-03-08T00:00:33+00:00,0.987
1773014428,2026-03-09T00:00:28+00:00,0.9915
1773100834,2026-03-10T00:00:34+00:00,0.9915
1773187238,2026-03-11T00:00:38+00:00,0.9875
1773273638,2026-03-12T00:00:38+00:00,0.9935
1773360054,2026-03-13T00:00:54+00:00,0.9945
1773446453,2026-03-14T00:00:53+00:00,0.995
1773532858,2026-03-15T00:00:58+00:00,0.9935
1773705643,2026-03-17T00:00:43+00:00,0.996
1773792045,2026-03-18T00:00:45+00:00,0.996
1773964850,2026-03-20T00:00:50+00:00,0.9965
1774051248,2026-03-21T00:00:48+00:00,0.9965
1774137646,2026-03-22T00:00:46+00:00,0.9975
1774224040,2026-03-23T00:00:40+00:00,0.997
1774310435,2026-03-24T00:00:35+00:00,0.9955
1774396834,2026-03-25T00:00:34+00:00,0.997
1774483238,2026-03-26T00:00:38+00:00,0.997
1774569649,2026-03-27T00:00:49+00:00,0.9975
1774656052,2026-03-28T00:00:52+00:00,0.998
1774742458,2026-03-29T00:00:58+00:00,0.998
1775347202,2026-04-05T00:00:02+00:00,0.9995
1775692832,2026-04-09T00:00:32+00:00,0.9995
