timestamp_unix,datetime_utc,increase_2_5_march_2026_no
1771027230,2026-02-14T00:00:30+00:00,0.59
1771113629,2026-02-15T00:00:29+00:00,0.72
1771200039,2026-02-16T00:00:39+00:00,0.9
1771286430,2026-02-17T00:00:30+00:00,0.9
1771372833,2026-02-18T00:00:33+00:00,0.735
1771459233,2026-02-19T00:00:33+00:00,0.76
1771545632,2026-02-20T00:00:32+00:00,0.75
1771632024,2026-02-21T00:00:24+00:00,0.76
1771718424,2026-02-22T00:00:24+00:00,0.755
1771804827,2026-02-23T00:00:27+00:00,0.765
1771891227,2026-02-24T00:00:27+00:00,0.805
1771977629,2026-02-25T00:00:29+00:00,0.78
1772064028,2026-02-26T00:00:28+00:00,0.75
1772150431,2026-02-27T00:00:31+00:00,0.755
1772236833,2026-02-28T00:00:33+00:00,0.77
1772323241,2026-03-01T00:00:41+00:00,0.8
1772409644,2026-03-02T00:00:44+00:00,0.845
1772496035,2026-03-03T00:00:35+00:00,0.775
1772582437,2026-03-04T00:00:37+00:00,0.865
1772668834,2026-03-05T00:00:34+00:00,0.9545
1772755233,2026-03-06T00:00:33+00:00,0.971
1772841637,2026-03-07T00:00:37+00:00,0.9895
1772928031,2026-03-08T00:00:31+00:00,0.9865
1773014426,2026-03-09T00:00:26+00:00,0.991
1773100832,2026-03-10T00:00:32+00:00,0.9815
1773187235,2026-03-11T00:00:35+00:00,0.9795
1773273635,2026-03-12T00:00:35+00:00,0.9925
1773360052,2026-03-13T00:00:52+00:00,0.9935
1773446452,2026-03-14T00:00:52+00:00,0.994
1773532857,2026-03-15T00:00:57+00:00,0.9925
1773705643,2026-03-17T00:00:43+00:00,0.995
1773792045,2026-03-18T00:00:45+00:00,0.9945
1773964849,2026-03-20T00:00:49+00:00,0.9955
1774051248,2026-03-21T00:00:48+00:00,0.996
1774137645,2026-03-22T00:00:45+00:00,0.997
1774224038,2026-03-23T00:00:38+00:00,0.997
1774310434,2026-03-24T00:00:34+00:00,0.9965
1774396846,2026-03-25T00:00:46+00:00,0.997
1774483250,2026-03-26T00:00:50+00:00,0.997
1774569642,2026-03-27T00:00:42+00:00,0.9965
1774656044,2026-03-28T00:00:44+00:00,0.9975
1774742449,2026-03-29T00:00:49+00:00,0.9975
1774915258,2026-03-31T00:00:58+00:00,0.9985
1775088058,2026-04-02T00:00:58+00:00,0.9985
1775692824,2026-04-09T00:00:24+00:00,0.9985
