timestamp_unix,datetime_utc,increase_2_4_march_2026_no
1771027228,2026-02-14T00:00:28+00:00,0.575
1771113626,2026-02-15T00:00:26+00:00,0.7
1771200036,2026-02-16T00:00:36+00:00,0.805
1771286426,2026-02-17T00:00:26+00:00,0.855
1771372829,2026-02-18T00:00:29+00:00,0.845
1771459229,2026-02-19T00:00:29+00:00,0.77
1771545629,2026-02-20T00:00:29+00:00,0.875
1771632022,2026-02-21T00:00:22+00:00,0.895
1771718422,2026-02-22T00:00:22+00:00,0.9
1771804825,2026-02-23T00:00:25+00:00,0.895
1771891225,2026-02-24T00:00:25+00:00,0.895
1771977626,2026-02-25T00:00:26+00:00,0.895
1772064026,2026-02-26T00:00:26+00:00,0.939
1772150429,2026-02-27T00:00:29+00:00,0.938
1772236832,2026-02-28T00:00:32+00:00,0.9515
1772323236,2026-03-01T00:00:36+00:00,0.946
1772409642,2026-03-02T00:00:42+00:00,0.932
1772496031,2026-03-03T00:00:31+00:00,0.9595
1772582435,2026-03-04T00:00:35+00:00,0.9745
1772668831,2026-03-05T00:00:31+00:00,0.9675
1772755230,2026-03-06T00:00:30+00:00,0.986
1772841634,2026-03-07T00:00:34+00:00,0.993
1772928030,2026-03-08T00:00:30+00:00,0.992
1773014424,2026-03-09T00:00:24+00:00,0.9905
1773100830,2026-03-10T00:00:30+00:00,0.9915
1773187233,2026-03-11T00:00:33+00:00,0.9905
1773273632,2026-03-12T00:00:32+00:00,0.9925
1773360049,2026-03-13T00:00:49+00:00,0.9945
1773446430,2026-03-14T00:00:30+00:00,0.9945
1773532829,2026-03-15T00:00:29+00:00,0.9935
1773619244,2026-03-16T00:00:44+00:00,0.9955
1773705630,2026-03-17T00:00:30+00:00,0.9965
1773792030,2026-03-18T00:00:30+00:00,0.995
1773878434,2026-03-19T00:00:34+00:00,0.997
1773964835,2026-03-20T00:00:35+00:00,0.9975
1774051233,2026-03-21T00:00:33+00:00,0.996
1774137630,2026-03-22T00:00:30+00:00,0.9975
1774224025,2026-03-23T00:00:25+00:00,0.996
1774310423,2026-03-24T00:00:23+00:00,0.9975
1774396840,2026-03-25T00:00:40+00:00,0.997
1774483244,2026-03-26T00:00:44+00:00,0.9965
1774569638,2026-03-27T00:00:38+00:00,0.9975
1774656040,2026-03-28T00:00:40+00:00,0.9975
1774742444,2026-03-29T00:00:44+00:00,0.9975
1774828857,2026-03-30T00:00:57+00:00,0.9985
1774915253,2026-03-31T00:00:53+00:00,0.9985
1775001658,2026-04-01T00:00:58+00:00,0.9985
1775088053,2026-04-02T00:00:53+00:00,0.9985
1775520059,2026-04-07T00:00:59+00:00,0.9985
1775692819,2026-04-09T00:00:19+00:00,0.9985
